sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AT,Austria,2010,0.42
F,AT,Austria,2011,0.29
F,AT,Austria,2012,0.62
F,AT,Austria,2013,0.41
F,AT,Austria,2014,0.62
F,AT,Austria,2015,0.51
F,AT,Austria,2016,0.33
F,AT,Austria,2017,0.22
F,AT,Austria,2018,0.3
F,AT,Austria,2019,0.11
F,AT,Austria,2020,0.26
F,AT,Austria,2021,0.63
F,BE,Belgium,2010,0.36
F,BE,Belgium,2011,0.08
F,BE,Belgium,2012,0
F,BE,Belgium,2013,0.25
F,BE,Belgium,2014,0.06
F,BE,Belgium,2015,0.09
F,BE,Belgium,2016,0.35
F,BE,Belgium,2017,0.24
F,BE,Belgium,2018,0.35
F,BE,Belgium,2019,0.05
F,BE,Belgium,2020,0.1
F,BE,Belgium,2021,0.15
F,BG,Bulgaria,2010,0.7
F,BG,Bulgaria,2011,0.31
F,BG,Bulgaria,2012,0.62
F,BG,Bulgaria,2013,0.61
F,BG,Bulgaria,2014,0.46
F,BG,Bulgaria,2015,0.53
F,BG,Bulgaria,2016,0.15
F,BG,Bulgaria,2017,0.44
F,BG,Bulgaria,2018,0.15
F,BG,Bulgaria,2019,0.08
F,BG,Bulgaria,2020,0.34
F,BG,Bulgaria,2021,0.08
F,CH,Switzerland,2010,0.26
F,CH,Switzerland,2011,0.29
F,CH,Switzerland,2012,0.23
F,CH,Switzerland,2013,0.34
F,CH,Switzerland,2014,0.22
F,CH,Switzerland,2015,0.05
F,CH,Switzerland,2016,0.2
F,CH,Switzerland,2017,0.05
F,CH,Switzerland,2018,0.16
F,CH,Switzerland,2019,0.21
F,CH,Switzerland,2020,0.31
F,CH,Switzerland,2021,0.09
F,CY,Cyprus,2010,0
F,CY,Cyprus,2011,0
F,CY,Cyprus,2012,0.6
F,CY,Cyprus,2013,0.57
F,CY,Cyprus,2014,0
F,CY,Cyprus,2015,0.64
F,CY,Cyprus,2016,0
F,CY,Cyprus,2017,0
F,CY,Cyprus,2018,0.53
F,CY,Cyprus,2019,0
F,CY,Cyprus,2020,0
F,CY,Cyprus,2021,0
F,CZ,Czechia,2010,0.53
F,CZ,Czechia,2011,0.44
F,CZ,Czechia,2012,0.1
F,CZ,Czechia,2013,0.33
F,CZ,Czechia,2014,0.09
F,CZ,Czechia,2015,0.52
F,CZ,Czechia,2016,0.13
F,CZ,Czechia,2017,0.17
F,CZ,Czechia,2018,0.26
F,CZ,Czechia,2019,0.21
F,CZ,Czechia,2020,0.13
F,CZ,Czechia,2021,0.25
F,DE,Germany,2010,0.15
F,DE,Germany,2011,0.09
F,DE,Germany,2012,0.2
F,DE,Germany,2013,0.09
F,DE,Germany,2014,0.17
F,DE,Germany,2015,0.14
F,DE,Germany,2016,0.09
F,DE,Germany,2017,0.14
F,DE,Germany,2018,0.1
F,DE,Germany,2019,0.13
F,DE,Germany,2020,0.07
F,DE,Germany,2021,0.13
F,DK,Denmark,2010,0.23
F,DK,Denmark,2011,0.16
F,DK,Denmark,2012,0.16
F,DK,Denmark,2013,0.23
F,DK,Denmark,2014,0.16
F,DK,Denmark,2015,0.23
F,DK,Denmark,2016,0.38
F,DK,Denmark,2017,0.07
F,DK,Denmark,2018,0.15
F,DK,Denmark,2019,0.38
