sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AT,Austria,2013,87.1
F,AT,Austria,2014,87.3
F,AT,Austria,2015,90.0
F,AT,Austria,2016,89.2
F,AT,Austria,2017,89.8
F,AT,Austria,2018,90.2
F,AT,Austria,2019,90.3
F,AT,Austria,2020,90.3
F,AT,Austria,2021,89.4
F,BE,Belgium,2013,98.4
F,BE,Belgium,2014,98.4
F,BE,Belgium,2015,98.3
F,BE,Belgium,2016,98.3
F,BE,Belgium,2019,98.2
F,BE,Belgium,2020,98.3
F,BE,Belgium,2021,97.7
F,BG,Bulgaria,2013,83.7
F,BG,Bulgaria,2014,85.4
F,BG,Bulgaria,2015,84.6
F,BG,Bulgaria,2016,82.6
F,BG,Bulgaria,2017,80.7
F,BG,Bulgaria,2018,79.7
F,BG,Bulgaria,2019,79.7
F,BG,Bulgaria,2020,79.6
F,BG,Bulgaria,2021,79.0
F,CH,Switzerland,2013,47.2
F,CH,Switzerland,2015,49.4
F,CH,Switzerland,2016,50.4
F,CH,Switzerland,2017,50.1
F,CH,Switzerland,2018,49.9
F,CH,Switzerland,2019,49.9
F,CH,Switzerland,2020,50.2
F,CH,Switzerland,2021,50.3
F,CY,Cyprus,2013,69.7
F,CY,Cyprus,2014,69.2
F,CY,Cyprus,2015,81.3
F,CY,Cyprus,2016,82.3
F,CY,Cyprus,2017,86.3
F,CY,Cyprus,2018,87.6
F,CY,Cyprus,2019,89.5
F,CY,Cyprus,2020,90.7
F,CY,Cyprus,2021,85.7
F,CZ,Czechia,2013,76.8
F,CZ,Czechia,2014,80.8
F,CZ,Czechia,2015,84.7
F,CZ,Czechia,2016,86.7
F,CZ,Czechia,2017,87.8
F,CZ,Czechia,2018,86.9
F,CZ,Czechia,2019,86.4
F,CZ,Czechia,2020,86.1
F,CZ,Czechia,2021,85.6
F,DE,Germany,2013,96.0
F,DE,Germany,2014,96.0
F,DE,Germany,2015,96.3
F,DE,Germany,2016,95.3
F,DE,Germany,2017,94.9
F,DE,Germany,2018,94.5
F,DE,Germany,2019,94.2
F,DE,Germany,2020,93.9
F,DE,Germany,2021,93.3
F,DK,Denmark,2013,97.7
F,DK,Denmark,2014,98.6
F,DK,Denmark,2015,98.5
F,DK,Denmark,2016,97.6
F,DK,Denmark,2017,97.5
F,DK,Denmark,2018,99.5
F,DK,Denmark,2019,97.7
F,DK,Denmark,2020,97.5
F,DK,Denmark,2021,97.0
F,EE,Estonia,2013,89.7
F,EE,Estonia,2014,90.3
F,EE,Estonia,2015,90.8
F,EE,Estonia,2016,91.5
F,EE,Estonia,2017,91.7
F,EE,Estonia,2018,91.8
F,EE,Estonia,2019,91.5
F,EE,Estonia,2020,92.0
F,EE,Estonia,2021,91.7
F,EL,Greece,2013,56.0
F,EL,Greece,2014,71.4
F,EL,Greece,2018,51.1
F,EL,Greece,2019,69.0
F,ES,Spain,2013,96.9
F,ES,Spain,2014,96.8
F,ES,Spain,2015,96.9
F,ES,Spain,2016,97.0
F,ES,Spain,2017,97.2
F,ES,Spain,2018,97.6
F,ES,Spain,2019,97.3
F,ES,Spain,2020,97.2
F,ES,Spain,2021,95.9
F,EU27_2020,European Union,2013,90.7
F,EU27_2020,European Union,2014,91.3
