wstatus,type,geo,name,TIME_PERIOD,OBS_VALUE
EMP,Employed persons,AT,Austria,2009,10.5
EMP,Employed persons,AT,Austria,2010,10.2
EMP,Employed persons,AT,Austria,2011,10.0
EMP,Employed persons,AT,Austria,2012,9.7
EMP,Employed persons,AT,Austria,2013,9.1
EMP,Employed persons,AT,Austria,2014,8.2
EMP,Employed persons,AT,Austria,2015,8.2
EMP,Employed persons,AT,Austria,2016,7.8
EMP,Employed persons,AT,Austria,2017,8.0
EMP,Employed persons,AT,Austria,2018,9.0
EMP,Employed persons,AT,Austria,2019,8.8
EMP,Employed persons,AT,Austria,2020,8.4
EMP,Employed persons,AT,Austria,2021,8.6
EMP,Employed persons,AT,Austria,2022,7.8
EMP,Employed persons,AT,Austria,2023,7.8
EMP,Employed persons,BA,Bosnia and Herzegovina,2021,26.9
EMP,Employed persons,BA,Bosnia and Herzegovina,2022,27.7
EMP,Employed persons,BE,Belgium,2009,12.2
EMP,Employed persons,BE,Belgium,2010,11.9
EMP,Employed persons,BE,Belgium,2011,11.5
EMP,Employed persons,BE,Belgium,2012,11.0
EMP,Employed persons,BE,Belgium,2013,10.2
EMP,Employed persons,BE,Belgium,2014,8.7
EMP,Employed persons,BE,Belgium,2015,8.3
EMP,Employed persons,BE,Belgium,2016,9.3
EMP,Employed persons,BE,Belgium,2017,9.8
EMP,Employed persons,BE,Belgium,2018,8.4
EMP,Employed persons,BE,Belgium,2019,8.0
EMP,Employed persons,BE,Belgium,2020,8.1
EMP,Employed persons,BE,Belgium,2021,7.7
EMP,Employed persons,BE,Belgium,2022,7.6
EMP,Employed persons,BE,Belgium,2023,7.6
EMP,Employed persons,BG,Bulgaria,2009,9.3
EMP,Employed persons,BG,Bulgaria,2010,7.5
EMP,Employed persons,BG,Bulgaria,2011,5.8
EMP,Employed persons,BG,Bulgaria,2012,5.2
EMP,Employed persons,BG,Bulgaria,2013,5.4
EMP,Employed persons,BG,Bulgaria,2014,5.8
EMP,Employed persons,BG,Bulgaria,2015,6.3
EMP,Employed persons,BG,Bulgaria,2016,6.8
EMP,Employed persons,BG,Bulgaria,2017,7.6
EMP,Employed persons,BG,Bulgaria,2018,7.7
EMP,Employed persons,BG,Bulgaria,2019,8.1
EMP,Employed persons,BG,Bulgaria,2020,8.3
EMP,Employed persons,BG,Bulgaria,2021,8.4
EMP,Employed persons,BG,Bulgaria,2022,7.5
EMP,Employed persons,BG,Bulgaria,2023,7.3
EMP,Employed persons,CH,Switzerland,2010,12.9
EMP,Employed persons,CH,Switzerland,2011,12.2
EMP,Employed persons,CH,Switzerland,2012,11.4
EMP,Employed persons,CH,Switzerland,2013,10.9
