sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AT,Austria,2009,68.2
F,AT,Austria,2010,68.8
F,AT,Austria,2011,69.2
F,AT,Austria,2012,69.6
F,AT,Austria,2013,70.0
F,AT,Austria,2014,70.1
F,AT,Austria,2015,70.2
F,AT,Austria,2016,70.9
F,AT,Austria,2017,71.4
F,AT,Austria,2018,71.7
F,AT,Austria,2019,72.4
F,AT,Austria,2020,70.6
F,AT,Austria,2021,71.3
F,AT,Austria,2022,73.4
F,AT,Austria,2023,73.3
F,BA,Bosnia and Herzegovina,2021,39.1
F,BA,Bosnia and Herzegovina,2022,40.0
F,BE,Belgium,2009,61.0
F,BE,Belgium,2010,61.6
F,BE,Belgium,2011,61.5
F,BE,Belgium,2012,61.7
F,BE,Belgium,2013,62.1
F,BE,Belgium,2014,62.9
F,BE,Belgium,2015,63.0
F,BE,Belgium,2016,63.0
F,BE,Belgium,2017,63.6
F,BE,Belgium,2018,65.5
F,BE,Belgium,2019,66.5
F,BE,Belgium,2020,65.6
F,BE,Belgium,2021,66.8
F,BE,Belgium,2022,68.1
F,BE,Belgium,2023,68.3
F,BG,Bulgaria,2009,63.6
F,BG,Bulgaria,2010,60.3
F,BG,Bulgaria,2011,59.4
F,BG,Bulgaria,2012,59.8
F,BG,Bulgaria,2013,60.2
F,BG,Bulgaria,2014,61.5
F,BG,Bulgaria,2015,63.3
F,BG,Bulgaria,2016,63.6
F,BG,Bulgaria,2017,66.8
F,BG,Bulgaria,2018,67.8
F,BG,Bulgaria,2019,70.2
F,BG,Bulgaria,2020,68.5
F,BG,Bulgaria,2021,68.9
F,BG,Bulgaria,2022,72.1
F,BG,Bulgaria,2023,72.6
F,CH,Switzerland,2010,73.2
F,CH,Switzerland,2011,74.6
F,CH,Switzerland,2012,75.3
F,CH,Switzerland,2013,75.3
F,CH,Switzerland,2014,76.2
F,CH,Switzerland,2015,76.8
F,CH,Switzerland,2016,77.5
F,CH,Switzerland,2017,77.4
F,CH,Switzerland,2018,77.9
F,CH,Switzerland,2019,78.6
F,CH,Switzerland,2020,78.3
F,CH,Switzerland,2021,77.8
F,CH,Switzerland,2022,77.8
F,CH,Switzerland,2023,79.1
F,CY,Cyprus,2009,68.3
F,CY,Cyprus,2010,68.8
F,CY,Cyprus,2011,67.7
F,CY,Cyprus,2012,64.8
F,CY,Cyprus,2013,62.2
F,CY,Cyprus,2014,63.9
F,CY,Cyprus,2015,64.0
F,CY,Cyprus,2016,64.1
F,CY,Cyprus,2017,66.2
F,CY,Cyprus,2018,68.9
F,CY,Cyprus,2019,70.1
F,CY,Cyprus,2020,69.1
F,CY,Cyprus,2021,70.0
F,CY,Cyprus,2022,72.1
F,CY,Cyprus,2023,74.6
F,CZ,Czechia,2009,61.4
F,CZ,Czechia,2010,60.9
F,CZ,Czechia,2011,61.7
F,CZ,Czechia,2012,62.5
F,CZ,Czechia,2013,63.8
F,CZ,Czechia,2014,64.7
F,CZ,Czechia,2015,66.4
F,CZ,Czechia,2016,68.6
F,CZ,Czechia,2017,70.5
F,CZ,Czechia,2018,72.2
F,CZ,Czechia,2019,72.7
F,CZ,Czechia,2020,71.9
F,CZ,Czechia,2021,72.1
F,CZ,Czechia,2022,73.7
F,CZ,Czechia,2023,74.5
F,DE,Germany,2009,67.8
F,DE,Germany,2010,68.8
F,DE,Germany,2011,70.3
F,DE,Germany,2012,70.7
F,DE,Germany,2013,71.5
F,DE,Germany,2014,72.1
F,DE,Germany,2015,72.6
F,DE,Germany,2016,73.5
F,DE,Germany,2017,74.2
F,DE,Germany,2018,74.8
F,DE,Germany,2019,75.5
F,DE,Germany,2020,74.4
F,DE,Germany,2021,75.6
F,DE,Germany,2022,76.8
F,DE,Germany,2023,77.4
F,DK,Denmark,2009,73.1
F,DK,Denmark,2010,72.0
F,DK,Denmark,2011,71.4
F,DK,Denmark,2012,71.1
F,DK,Denmark,2013,71.2
F,DK,Denmark,2014,71.0
F,DK,Denmark,2015,71.5
F,DK,Denmark,2016,72.5
F,DK,Denmark,2017,73.2
F,DK,Denmark,2018,73.9
F,DK,Denmark,2019,74.7
F,DK,Denmark,2020,74.3
F,DK,Denmark,2021,75.5
F,DK,Denmark,2022,77.4
F,DK,Denmark,2023,77.0
F,EE,Estonia,2009,69.9
F,EE,Estonia,2010,67.4
F,EE,Estonia,2011,68.6
F,EE,Estonia,2012,71.1
F,EE,Estonia,2013,71.6
F,EE,Estonia,2014,71.9
F,EE,Estonia,2015,73.7
F,EE,Estonia,2016,73.7
F,EE,Estonia,2017,76.8
F,EE,Estonia,2018,76.8
F,EE,Estonia,2019,77.5
F,EE,Estonia,2020,76.9
F,EE,Estonia,2021,77.5
F,EE,Estonia,2022,80.4
F,EE,Estonia,2023,80.9
F,EL,Greece,2009,52.4
F,EL,Greece,2010,51.2
F,EL,Greece,2011,48.1
F,EL,Greece,2012,44.6
F,EL,Greece,2013,42.9
F,EL,Greece,2014,43.8
F,EL,Greece,2015,45.6
F,EL,Greece,2016,46.2
F,EL,Greece,2017,47.4
F,EL,Greece,2018,48.3
F,EL,Greece,2019,50.5
F,EL,Greece,2020,48.7
F,EL,Greece,2021,52.7
F,EL,Greece,2022,55.9
F,EL,Greece,2023,57.6
F,ES,Spain,2009,56.8
F,ES,Spain,2010,56.3
F,ES,Spain,2011,56.1
F,ES,Spain,2012,54.6
F,ES,Spain,2013,53.8
F,ES,Spain,2014,54.8
F,ES,Spain,2015,56.4
F,ES,Spain,2016,58.1
F,ES,Spain,2017,59.6
F,ES,Spain,2018,61.0
F,ES,Spain,2019,62.1
F,ES,Spain,2020,60.0
F,ES,Spain,2021,62.4
F,ES,Spain,2022,64.1
F,ES,Spain,2023,65.7
F,FI,Finland,2009,71.5
F,FI,Finland,2010,70.3
F,FI,Finland,2011,70.7
