sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AL,Albania,2017,78.9
F,AL,Albania,2018,79.6
F,AL,Albania,2019,79.7
F,AL,Albania,2020,80.9
F,AL,Albania,2021,81.3
F,AT,Austria,2005,69.2
F,AT,Austria,2006,70.9
F,AT,Austria,2007,70.8
F,AT,Austria,2008,68.8
F,AT,Austria,2009,68.3
F,AT,Austria,2010,67.2
F,AT,Austria,2011,66.8
F,AT,Austria,2012,68.5
F,AT,Austria,2013,66.7
F,AT,Austria,2014,67.4
F,AT,Austria,2015,68.0
F,AT,Austria,2016,68.6
F,AT,Austria,2017,68.8
F,AT,Austria,2018,70.3
F,AT,Austria,2019,70.6
F,AT,Austria,2020,73.3
F,AT,Austria,2021,71.9
F,AT,Austria,2022,68.6
F,BE,Belgium,2005,70.0
F,BE,Belgium,2006,70.9
F,BE,Belgium,2007,71.0
F,BE,Belgium,2008,71.4
F,BE,Belgium,2009,70.9
F,BE,Belgium,2010,70.9
F,BE,Belgium,2011,71.7
F,BE,Belgium,2012,72.2
F,BE,Belgium,2013,71.9
F,BE,Belgium,2014,72.9
F,BE,Belgium,2015,71.5
F,BE,Belgium,2016,71.3
F,BE,Belgium,2017,71.6
F,BE,Belgium,2018,72.5
F,BE,Belgium,2019,71.7
F,BE,Belgium,2020,73.3
F,BE,Belgium,2021,74.1
F,BE,Belgium,2022,72.6
F,BE,Belgium,2023,72.4
F,BG,Bulgaria,2005,55.3
F,BG,Bulgaria,2006,55.3
F,BG,Bulgaria,2007,56.9
F,BG,Bulgaria,2008,57.7
F,BG,Bulgaria,2009,60.2
F,BG,Bulgaria,2010,62.4
F,BG,Bulgaria,2011,63.2
F,BG,Bulgaria,2012,62.8
F,BG,Bulgaria,2013,62.7
F,BG,Bulgaria,2014,62.7
F,BG,Bulgaria,2015,61.9
F,BG,Bulgaria,2016,62.0
F,BG,Bulgaria,2017,63.0
F,BG,Bulgaria,2018,63.0
F,BG,Bulgaria,2019,63.2
F,BG,Bulgaria,2020,62.9
F,BG,Bulgaria,2021,63.8
F,BG,Bulgaria,2022,64.7
F,BG,Bulgaria,2023,61.7
F,CH,Switzerland,2007,81.8
F,CH,Switzerland,2008,79.4
F,CH,Switzerland,2009,78.5
F,CH,Switzerland,2010,79.0
F,CH,Switzerland,2011,78.7
F,CH,Switzerland,2012,80.0
F,CH,Switzerland,2013,78.4
F,CH,Switzerland,2014,76.1
F,CH,Switzerland,2015,77.3
F,CH,Switzerland,2016,75.7
F,CH,Switzerland,2017,78.6
F,CH,Switzerland,2018,78.6
F,CH,Switzerland,2019,79.4
F,CH,Switzerland,2020,81.9
F,CH,Switzerland,2021,80.5
F,CH,Switzerland,2022,78.5
F,CY,Cyprus,2005,71.7
F,CY,Cyprus,2006,73.3
F,CY,Cyprus,2007,74.2
F,CY,Cyprus,2008,74.1
F,CY,Cyprus,2009,73.6
F,CY,Cyprus,2010,72.3
F,CY,Cyprus,2011,73.7
F,CY,Cyprus,2012,75.6
F,CY,Cyprus,2013,74.8
F,CY,Cyprus,2014,76.4
F,CY,Cyprus,2015,79.2
F,CY,Cyprus,2016,78.2
F,CY,Cyprus,2017,77.3
F,CY,Cyprus,2018,76.3
F,CY,Cyprus,2019,76.5
F,CY,Cyprus,2020,76.6
F,CY,Cyprus,2021,76.5
