sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AT,Austria,2004,60.4
F,AT,Austria,2005,59.8
F,AT,Austria,2006,61.0
F,AT,Austria,2007,61.4
F,AT,Austria,2008,59.9
F,AT,Austria,2009,60.8
F,AT,Austria,2010,60.8
F,AT,Austria,2011,60.1
F,AT,Austria,2012,62.5
F,AT,Austria,2013,60.2
F,AT,Austria,2014,57.8
F,AT,Austria,2015,58.1
F,AT,Austria,2016,57.1
F,AT,Austria,2017,56.8
F,AT,Austria,2018,57.0
F,AT,Austria,2019,58.0
F,AT,Austria,2020,59.3
F,AT,Austria,2021,61.3
F,BE,Belgium,2004,58.4
F,BE,Belgium,2005,62.3
F,BE,Belgium,2006,63.2
F,BE,Belgium,2007,63.9
F,BE,Belgium,2008,64.1
F,BE,Belgium,2009,63.8
F,BE,Belgium,2010,62.6
F,BE,Belgium,2011,63.6
F,BE,Belgium,2012,65.0
F,BE,Belgium,2013,63.7
F,BE,Belgium,2014,63.7
F,BE,Belgium,2015,64.0
F,BE,Belgium,2016,63.7
F,BE,Belgium,2017,64.0
F,BE,Belgium,2018,63.7
F,BE,Belgium,2019,62.8
F,BE,Belgium,2020,64.0
F,BE,Belgium,2021,64.4
F,BG,Bulgaria,2006,71.9
F,BG,Bulgaria,2007,73.9
F,BG,Bulgaria,2008,65.7
F,BG,Bulgaria,2009,65.8
F,BG,Bulgaria,2010,67.1
F,BG,Bulgaria,2011,65.9
F,BG,Bulgaria,2012,65.7
F,BG,Bulgaria,2013,66.6
F,BG,Bulgaria,2014,66.1
F,BG,Bulgaria,2015,65.0
F,BG,Bulgaria,2016,67.5
F,BG,Bulgaria,2017,66.2
F,BG,Bulgaria,2018,67.6
F,BG,Bulgaria,2019,68.4
F,BG,Bulgaria,2020,67.8
F,BG,Bulgaria,2021,65.1
F,CH,Switzerland,2007,63.6
F,CH,Switzerland,2008,64.6
F,CH,Switzerland,2009,63.0
F,CH,Switzerland,2010,63.3
F,CH,Switzerland,2011,64.7
F,CH,Switzerland,2012,67.6
F,CH,Switzerland,2013,58.4
F,CH,Switzerland,2014,56.7
F,CH,Switzerland,2015,57.8
F,CH,Switzerland,2016,57.7
F,CH,Switzerland,2017,59.4
F,CH,Switzerland,2018,59.5
F,CH,Switzerland,2019,60.0
F,CH,Switzerland,2020,60.7
F,CH,Switzerland,2021,59.3
F,CY,Cyprus,2005,58.2
F,CY,Cyprus,2006,63.3
F,CY,Cyprus,2007,62.8
F,CY,Cyprus,2008,64.5
F,CY,Cyprus,2009,65.3
F,CY,Cyprus,2010,64.2
F,CY,Cyprus,2011,61.0
F,CY,Cyprus,2012,64.0
F,CY,Cyprus,2013,65.0
F,CY,Cyprus,2014,66.1
F,CY,Cyprus,2015,63.4
F,CY,Cyprus,2016,68.8
F,CY,Cyprus,2017,65.8
F,CY,Cyprus,2018,62.4
F,CY,Cyprus,2019,63.0
F,CY,Cyprus,2020,63.1
F,CY,Cyprus,2021,66.8
F,CZ,Czechia,2005,60.0
F,CZ,Czechia,2006,59.9
F,CZ,Czechia,2007,63.3
F,CZ,Czechia,2008,63.4
F,CZ,Czechia,2009,62.7
F,CZ,Czechia,2010,64.5
F,CZ,Czechia,2011,63.6
F,CZ,Czechia,2012,64.1
F,CZ,Czechia,2013,64.2
F,CZ,Czechia,2014,65.0
F,CZ,Czechia,2015,63.7
F,CZ,Czechia,2016,64.0
F,CZ,Czechia,2017,62.4
F,CZ,Czechia,2018,63.4
F,CZ,Czechia,2019,62.6
F,CZ,Czechia,2020,62.5
F,CZ,Czechia,2021,63.4
F,DE,Germany,2005,54.8
F,DE,Germany,2006,58.3
F,DE,Germany,2007,58.6
F,DE,Germany,2008,57.7
F,DE,Germany,2009,58.1
F,DE,Germany,2010,58.7
F,DE,Germany,2011,58.6
F,DE,Germany,2012,57.9
F,DE,Germany,2013,57.0
F,DE,Germany,2014,56.5
F,DE,Germany,2015,67.5
F,DE,Germany,2016,67.3
F,DE,Germany,2017,66.7
F,DE,Germany,2018,66.3
F,DE,Germany,2019,67.1
F,DE,Germany,2020,66.8
F,DE,Germany,2021,66.5
F,DK,Denmark,2004,69.0
F,DK,Denmark,2005,68.4
F,DK,Denmark,2006,67.2
F,DK,Denmark,2007,67.4
F,DK,Denmark,2008,60.8
F,DK,Denmark,2009,60.4
F,DK,Denmark,2010,61.4
F,DK,Denmark,2011,59.9
F,DK,Denmark,2012,61.5
F,DK,Denmark,2013,60.1
F,DK,Denmark,2014,61.4
F,DK,Denmark,2015,57.6
F,DK,Denmark,2016,60.3
F,DK,Denmark,2017,59.7
F,DK,Denmark,2018,59.1
F,DK,Denmark,2019,58.8
F,DK,Denmark,2020,57.7
F,DK,Denmark,2021,54.8
F,EE,Estonia,2004,53.8
F,EE,Estonia,2005,52.5
F,EE,Estonia,2006,53.9
F,EE,Estonia,2007,54.9
F,EE,Estonia,2008,57.5
F,EE,Estonia,2009,59.2
F,EE,Estonia,2010,58.2
F,EE,Estonia,2011,57.9
F,EE,Estonia,2012,57.2
F,EE,Estonia,2013,57.1
F,EE,Estonia,2014,57.1
F,EE,Estonia,2015,56.2
F,EE,Estonia,2016,59.0
F,EE,Estonia,2017,57.2
F,EE,Estonia,2018,55.0
F,EE,Estonia,2019,57.7
F,EE,Estonia,2020,59.6
F,EE,Estonia,2021,58
F,EL,Greece,2004,65.7
F,EL,Greece,2005,67.7
F,EL,Greece,2006,68.4
F,EL,Greece,2007,67.6
F,EL,Greece,2008,66.2
F,EL,Greece,2009,66.8
F,EL,Greece,2010,67.7
F,EL,Greece,2011,66.9
F,EL,Greece,2012,64.9
F,EL,Greece,2013,65.1
F,EL,Greece,2014,64.9
F,EL,Greece,2015,64.1
F,EL,Greece,2016,64.7
F,EL,Greece,2017,65.1
F,EL,Greece,2018,65.9
F,EL,Greece,2019,66.4
F,EL,Greece,2020,66.8
F,EL,Greece,2021,66.6
F,ES,Spain,2004,62.6
F,ES,Spain,2005,63.5
F,ES,Spain,2006,63.6
F,ES,Spain,2007,63.2
F,ES,Spain,2008,63.7
F,ES,Spain,2009,62.2
F,ES,Spain,2010,63.8
F,ES,Spain,2011,65.6
F,ES,Spain,2012,65.8
F,ES,Spain,2013,63.9
F,ES,Spain,2014,65.0
F,ES,Spain,2015,64.1
F,ES,Spain,2016,66.5
F,ES,Spain,2017,69.9
F,ES,Spain,2018,68.0
F,ES,Spain,2019,70.4
F,ES,Spain,2020,66.3
F,ES,Spain,2021,62.6
F,EU27_2020,European Union,2004,63.7
F,EU27_2020,European Union,2005,61.6
F,EU27_2020,European Union,2006,62.1
F,EU27_2020,European Union,2007,62.1
F,EU27_2020,European Union,2008,61.6
F,EU27_2020,European Union,2009,61.3
F,EU27_2020,European Union,2010,62.2
F,EU27_2020,European Union,2011,61.7
F,EU27_2020,European Union,2012,61.7
F,EU27_2020,European Union,2013,61.1
F,EU27_2020,European Union,2014,61.4
F,EU27_2020,European Union,2015,63.3
F,EU27_2020,European Union,2016,64.4
F,EU27_2020,European Union,2017,64.3
F,EU27_2020,European Union,2018,64.2
F,EU27_2020,European Union,2019,65.1
F,EU27_2020,European Union,2020,64.5
F,EU27_2020,European Union,2021,64.2
F,FI,Finland,2004,53.1
F,FI,Finland,2005,52.5
F,FI,Finland,2006,52.8
F,FI,Finland,2007,58.0
F,FI,Finland,2008,59.5
F,FI,Finland,2009,58.6
F,FI,Finland,2010,57.9
F,FI,Finland,2011,58.3
F,FI,Finland,2012,56.2
F,FI,Finland,2014,57.5
F,FI,Finland,2015,56.3
F,FI,Finland,2016,57.0
F,FI,Finland,2017,56.4
F,FI,Finland,2018,55.7
F,FI,Finland,2019,54.8
F,FI,Finland,2020,55.9
F,FI,Finland,2021,61.7
F,FR,France,2004,64.3
F,FR,France,2005,64.6
F,FR,France,2006,64.4
F,FR,France,2007,64.4
F,FR,France,2008,64.5
F,FR,France,2009,63.5
F,FR,France,2010,63.4
F,FR,France,2011,63.6
F,FR,France,2012,63.8
F,FR,France,2013,64.3
F,FR,France,2014,64.2
F,FR,France,2015,64.6
F,FR,France,2016,64.1
F,FR,France,2017,64.9
F,FR,France,2018,64.5
F,FR,France,2019,64.6
F,FR,France,2020,65.3
F,FR,France,2021,66.9
F,HR,Croatia,2010,60.4
F,HR,Croatia,2011,61.7
F,HR,Croatia,2012,64.2
F,HR,Croatia,2013,60.4
F,HR,Croatia,2014,60.0
F,HR,Croatia,2015,56.8
F,HR,Croatia,2016,58.7
F,HR,Croatia,2017,58.0
F,HR,Croatia,2018,58.5
F,HR,Croatia,2019,58.5
F,HR,Croatia,2020,59.6
F,HR,Croatia,2021,59.3
F,HU,Hungary,2005,54.3
F,HU,Hungary,2006,57.2
F,HU,Hungary,2007,57.8
F,HU,Hungary,2008,58.2
F,HU,Hungary,2009,58.2
F,HU,Hungary,2010,58.6
F,HU,Hungary,2011,59.2
F,HU,Hungary,2012,60.4
F,HU,Hungary,2013,60.1
F,HU,Hungary,2014,60.6
F,HU,Hungary,2015,60.1
F,HU,Hungary,2016,60.2
F,HU,Hungary,2017,60.8
F,HU,Hungary,2018,61.8
F,HU,Hungary,2019,62.8
F,HU,Hungary,2020,63.5
F,HU,Hungary,2021,63.5
F,IE,Ireland,2004,64.1
F,IE,Ireland,2005,63.9
F,IE,Ireland,2006,64.7
F,IE,Ireland,2007,65.6
F,IE,Ireland,2008,65.1
F,IE,Ireland,2009,65.3
F,IE,Ireland,2010,66.9
F,IE,Ireland,2011,68.3
F,IE,Ireland,2012,68.5
F,IE,Ireland,2013,68.0
F,IE,Ireland,2014,67.5
F,IE,Ireland,2015,68.0
F,IE,Ireland,2016,69.8
F,IE,Ireland,2017,69.3
F,IE,Ireland,2018,70.4
F,IE,Ireland,2019,70.5
F,IE,Ireland,2020,67.1
F,IE,Ireland,2021,68
F,IS,Iceland,2004,62.5
F,IS,Iceland,2005,65.0
F,IS,Iceland,2006,65.3
F,IS,Iceland,2007,71.6
F,IS,Iceland,2008,69.5
F,IS,Iceland,2009,68.9
F,IS,Iceland,2010,68.1
F,IS,Iceland,2011,67.7
F,IS,Iceland,2012,68.0
F,IS,Iceland,2013,66.7
F,IS,Iceland,2014,66.9
F,IS,Iceland,2015,66.2
F,IS,Iceland,2016,63.7
F,IS,Iceland,2017,60.6
F,IS,Iceland,2018,59.0
F,IT,Italy,2004,71.0
F,IT,Italy,2005,67.8
F,IT,Italy,2006,64.7
F,IT,Italy,2007,62.6
F,IT,Italy,2008,61.9
F,IT,Italy,2009,62.7
F,IT,Italy,2011,62.5
F,IT,Italy,2012,61.4
F,IT,Italy,2013,61.2
F,IT,Italy,2014,62.3
F,IT,Italy,2015,62.7
F,IT,Italy,2016,67.2
F,IT,Italy,2017,66.4
F,IT,Italy,2018,66.9
F,IT,Italy,2019,68.6
F,IT,Italy,2020,68.7
F,IT,Italy,2021,68.5
F,LT,Lithuania,2005,54.6
F,LT,Lithuania,2006,56.4
F,LT,Lithuania,2007,58.1
F,LT,Lithuania,2008,59.5
F,LT,Lithuania,2009,61.1
F,LT,Lithuania,2010,62.3
F,LT,Lithuania,2011,62.0
F,LT,Lithuania,2012,61.6
F,LT,Lithuania,2013,61.6
F,LT,Lithuania,2014,61.7
F,LT,Lithuania,2015,58.8
F,LT,Lithuania,2016,59.4
F,LT,Lithuania,2017,59.8
F,LT,Lithuania,2018,59.1
F,LT,Lithuania,2019,59.1
F,LT,Lithuania,2020,58.7
F,LT,Lithuania,2021,59.8
F,LU,Luxembourg,2004,60.2
F,LU,Luxembourg,2005,62.4
F,LU,Luxembourg,2006,62.1
F,LU,Luxembourg,2007,64.6
F,LU,Luxembourg,2008,64.2
F,LU,Luxembourg,2009,65.9
F,LU,Luxembourg,2010,66.4
F,LU,Luxembourg,2011,67.1
F,LU,Luxembourg,2012,66.4
F,LU,Luxembourg,2013,62.9
F,LU,Luxembourg,2014,63.5
F,LU,Luxembourg,2015,60.6
F,LU,Luxembourg,2016,58.9
F,LU,Luxembourg,2017,58.1
F,LU,Luxembourg,2018,59.8
F,LU,Luxembourg,2019,61.9
F,LU,Luxembourg,2020,62.4
F,LU,Luxembourg,2021,61.6
F,LV,Latvia,2005,53.3
F,LV,Latvia,2006,52.5
F,LV,Latvia,2007,54.8
F,LV,Latvia,2008,54.3
F,LV,Latvia,2009,55.9
F,LV,Latvia,2010,56.4
F,LV,Latvia,2011,56.6
F,LV,Latvia,2012,59.0
F,LV,Latvia,2013,54.2
F,LV,Latvia,2014,55.3
F,LV,Latvia,2015,54.1
F,LV,Latvia,2016,54.9
F,LV,Latvia,2017,52.2
F,LV,Latvia,2018,53.7
F,LV,Latvia,2019,54.1
F,LV,Latvia,2020,54.3
F,LV,Latvia,2021,55.4
F,MT,Malta,2005,70.4
F,MT,Malta,2006,69.5
F,MT,Malta,2007,71.1
F,MT,Malta,2008,72.1
F,MT,Malta,2009,71.0
F,MT,Malta,2010,71.3
F,MT,Malta,2011,70.7
F,MT,Malta,2012,72.2
F,MT,Malta,2013,72.7
F,MT,Malta,2014,74.5
F,MT,Malta,2015,74.6
F,MT,Malta,2016,72.4
F,MT,Malta,2017,73.4
F,MT,Malta,2018,73.4
F,MT,Malta,2019,73.5
F,MT,Malta,2020,70.7
F,MT,Malta,2021,68.5
F,NL,Netherlands,2005,63.5
F,NL,Netherlands,2006,63.5
