sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AL,Albania,2004,1.4
F,AT,Austria,2000,1.2
F,AT,Austria,2001,1.1
F,AT,Austria,2002,1.0
F,AT,Austria,2003,0.5
F,AT,Austria,2004,0.8
F,AT,Austria,2005,0.7
F,AT,Austria,2006,0.8
F,AT,Austria,2007,0.6
F,AT,Austria,2008,0.6
F,AT,Austria,2009,0.7
F,AT,Austria,2010,0.6
F,AT,Austria,2011,0.44
F,AT,Austria,2012,0.48
F,AT,Austria,2013,0.45
F,AT,Austria,2014,0.39
F,AT,Austria,2015,0.66
F,AT,Austria,2016,0.56
F,AT,Austria,2017,0.58
F,AT,Austria,2018,0.62
F,AT,Austria,2019,0.57
F,AT,Austria,2020,0.48
F,AT,Austria,2021,0.63
F,BE,Belgium,2003,1.1
F,BE,Belgium,2004,1.6
F,BE,Belgium,2005,1.3
F,BE,Belgium,2006,1.1
F,BE,Belgium,2007,1.2
F,BE,Belgium,2008,0.8
F,BE,Belgium,2009,1.0
F,BE,Belgium,2010,0.8
F,BE,Belgium,2011,1.13
F,BE,Belgium,2012,0.85
F,BE,Belgium,2013,0.92
F,BE,Belgium,2014,0.77
F,BE,Belgium,2015,0.94
F,BE,Belgium,2016,0.84
F,BE,Belgium,2017,0.94
F,BE,Belgium,2018,0.8
F,BE,Belgium,2019,0.62
F,BE,Belgium,2020,0.49
F,BE,Belgium,2021,0.61
F,BG,Bulgaria,2000,2.1
F,BG,Bulgaria,2001,1.2
F,BG,Bulgaria,2002,1.3
F,BG,Bulgaria,2003,1.2
F,BG,Bulgaria,2004,1.3
F,BG,Bulgaria,2005,1.1
F,BG,Bulgaria,2006,1.1
F,BG,Bulgaria,2007,0.8
F,BG,Bulgaria,2008,1.1
F,BG,Bulgaria,2009,1.0
F,BG,Bulgaria,2010,0.9
F,BG,Bulgaria,2011,0.72
F,BG,Bulgaria,2012,0.71
F,BG,Bulgaria,2013,0.8
F,BG,Bulgaria,2014,0.8
F,BG,Bulgaria,2015,0.61
F,BG,Bulgaria,2016,0.68
F,BG,Bulgaria,2017,0.78
F,BG,Bulgaria,2018,0.85
F,BG,Bulgaria,2019,0.52
F,BG,Bulgaria,2020,0.49
F,BG,Bulgaria,2021,0.58
F,CH,Switzerland,2000,0.8
F,CH,Switzerland,2001,0.9
F,CH,Switzerland,2002,1.1
F,CH,Switzerland,2003,0.7
F,CH,Switzerland,2004,0.9
F,CH,Switzerland,2005,0.8
F,CH,Switzerland,2006,0.7
F,CH,Switzerland,2007,0.6
F,CH,Switzerland,2008,0.5
F,CH,Switzerland,2009,0.7
F,CH,Switzerland,2010,0.5
F,CH,Switzerland,2011,0.56
F,CH,Switzerland,2012,0.44
F,CH,Switzerland,2013,0.61
F,CH,Switzerland,2014,0.5
F,CH,Switzerland,2015,0.49
F,CH,Switzerland,2016,0.41
F,CH,Switzerland,2017,0.35
F,CH,Switzerland,2018,0.48
F,CH,Switzerland,2019,0.43
F,CH,Switzerland,2020,0.59
F,CH,Switzerland,2021,0.43
F,CY,Cyprus,2004,1.1
F,CY,Cyprus,2005,0.2
F,CY,Cyprus,2006,0.7
F,CY,Cyprus,2007,0.4
F,CY,Cyprus,2008,0.4
F,CY,Cyprus,2009,1.4
F,CY,Cyprus,2011,1.27
F,CY,Cyprus,2012,0.8
F,CY,Cyprus,2013,0.63
F,CY,Cyprus,2014,0.95
F,CY,Cyprus,2015,0.76
F,CY,Cyprus,2016,1.01
F,CY,Cyprus,2017,0.24
F,CY,Cyprus,2018,1.71
F,CY,Cyprus,2019,1.74
F,CY,Cyprus,2020,0.86
F,CY,Cyprus,2021,1.09
F,CZ,Czechia,2000,1.0
F,CZ,Czechia,2001,1.0
F,CZ,Czechia,2002,1.0
F,CZ,Czechia,2003,1.0
F,CZ,Czechia,2004,0.8
F,CZ,Czechia,2005,0.8
F,CZ,Czechia,2006,0.8
F,CZ,Czechia,2007,0.9
F,CZ,Czechia,2008,0.5
F,CZ,Czechia,2009,0.7
F,CZ,Czechia,2010,0.8
F,CZ,Czechia,2011,0.63
F,CZ,Czechia,2012,0.73
F,CZ,Czechia,2013,0.83
F,CZ,Czechia,2014,0.57
F,CZ,Czechia,2015,0.63
F,CZ,Czechia,2016,0.48
F,CZ,Czechia,2017,0.55
F,CZ,Czechia,2018,0.48
F,CZ,Czechia,2019,0.63
F,CZ,Czechia,2020,0.55
F,CZ,Czechia,2021,0.53
F,DE,Germany,2000,0.7
F,DE,Germany,2001,0.6
F,DE,Germany,2002,0.7
F,DE,Germany,2003,0.6
F,DE,Germany,2004,0.6
F,DE,Germany,2005,0.5
F,DE,Germany,2006,0.5
F,DE,Germany,2007,0.5
F,DE,Germany,2008,0.5
F,DE,Germany,2009,0.5
F,DE,Germany,2010,0.6
F,DE,Germany,2011,0.47
F,DE,Germany,2012,0.49
F,DE,Germany,2013,0.52
F,DE,Germany,2014,0.46
F,DE,Germany,2015,0.52
F,DE,Germany,2016,0.45
F,DE,Germany,2017,0.4
F,DE,Germany,2018,0.39
F,DE,Germany,2019,0.34
F,DE,Germany,2020,0.4
F,DE,Germany,2021,0.39
F,DK,Denmark,2000,1.1
F,DK,Denmark,2001,0.7
F,DK,Denmark,2002,0.4
F,DK,Denmark,2003,1.0
F,DK,Denmark,2004,0.5
F,DK,Denmark,2005,0.6
F,DK,Denmark,2006,0.4
F,DK,Denmark,2007,0.7
F,DK,Denmark,2008,0.5
F,DK,Denmark,2009,0.5
F,DK,Denmark,2011,0.43
F,DK,Denmark,2012,0.24
F,DK,Denmark,2013,0.21
F,DK,Denmark,2014,0.69
F,DK,Denmark,2015,0.45
F,DK,Denmark,2016,0.34
F,DK,Denmark,2017,0.36
F,DK,Denmark,2018,0.43
F,DK,Denmark,2019,0.45
F,DK,Denmark,2020,0.29
F,DK,Denmark,2021,0.35
F,EE,Estonia,2000,4.9
F,EE,Estonia,2001,6.0
F,EE,Estonia,2002,5.0
F,EE,Estonia,2003,5.5
F,EE,Estonia,2004,2.7
F,EE,Estonia,2005,4.3
F,EE,Estonia,2006,3.7
F,EE,Estonia,2007,2.8
F,EE,Estonia,2008,2.7
F,EE,Estonia,2009,3.4
F,EE,Estonia,2010,1.9
F,EE,Estonia,2011,1.83
F,EE,Estonia,2012,2.41
F,EE,Estonia,2013,2.6
F,EE,Estonia,2014,1.15
F,EE,Estonia,2015,1.45
F,EE,Estonia,2016,1.39
F,EE,Estonia,2017,1.31
F,EE,Estonia,2018,0.71
F,EE,Estonia,2019,0.69
F,EE,Estonia,2020,1.43
F,EE,Estonia,2021,0.61
F,EL,Greece,2000,0.8
F,EL,Greece,2001,0.6
F,EL,Greece,2002,0.4
F,EL,Greece,2003,0.6
F,EL,Greece,2004,0.5
F,EL,Greece,2005,0.7
F,EL,Greece,2006,0.3
F,EL,Greece,2007,0.5
F,EL,Greece,2008,0.6
F,EL,Greece,2009,0.8
F,EL,Greece,2010,0.6
F,EL,Greece,2011,0.52
F,EL,Greece,2012,0.59
F,EL,Greece,2013,0.8
F,EL,Greece,2014,0.48
F,EL,Greece,2015,0.53
F,EL,Greece,2016,0.38
F,EL,Greece,2017,0.44
F,EL,Greece,2018,0.48
F,EL,Greece,2019,0.37
F,EL,Greece,2020,0.43
F,EL,Greece,2021,0.51
F,ES,Spain,2000,0.5
F,ES,Spain,2001,0.4
F,ES,Spain,2002,0.5
F,ES,Spain,2003,0.6
F,ES,Spain,2004,0.9
F,ES,Spain,2005,0.4
F,ES,Spain,2006,0.5
F,ES,Spain,2007,0.5
F,ES,Spain,2008,0.5
F,ES,Spain,2009,0.4
F,ES,Spain,2010,0.5
F,ES,Spain,2011,0.41
F,ES,Spain,2012,0.41
F,ES,Spain,2013,0.43
F,ES,Spain,2014,0.45
F,ES,Spain,2015,0.48
F,ES,Spain,2016,0.42
F,ES,Spain,2017,0.47
F,ES,Spain,2018,0.39
F,ES,Spain,2019,0.43
F,ES,Spain,2020,0.41
F,ES,Spain,2021,0.35
F,EU,European Union,2002,0.9
F,EU,European Union,2003,0.9
F,EU,European Union,2004,0.9
F,EU,European Union,2005,0.8
F,EU,European Union,2006,0.7
F,EU,European Union,2007,0.7
F,EU,European Union,2008,0.7
F,EU,European Union,2009,0.7
F,EU,European Union,2010,0.7
F,EU,European Union,2011,0.62
F,EU,European Union,2012,0.59
F,EU,European Union,2013,0.61
F,EU,European Union,2014,0.53
F,EU,European Union,2015,0.54
F,EU,European Union,2016,0.47
F,EU,European Union,2017,0.47
F,EU,European Union,2018,0.44
F,EU,European Union,2019,0.44
F,EU,European Union,2020,0.43
F,EU,European Union,2021,0.43
F,FI,Finland,2000,1.6
F,FI,Finland,2001,1.8
F,FI,Finland,2002,1.7
F,FI,Finland,2003,1.1
F,FI,Finland,2004,1.1
F,FI,Finland,2005,1.1
F,FI,Finland,2006,1.1
F,FI,Finland,2007,1.5
F,FI,Finland,2008,1.5
F,FI,Finland,2009,1.0
F,FI,Finland,2010,0.8
F,FI,Finland,2011,1.24
F,FI,Finland,2012,1.31
F,FI,Finland,2013,0.72
F,FI,Finland,2014,0.92
F,FI,Finland,2015,0.58
F,FI,Finland,2016,0.7
F,FI,Finland,2017,0.92
F,FI,Finland,2018,0.63
F,FI,Finland,2019,0.82
F,FI,Finland,2020,0.57
F,FI,Finland,2021,0.8
F,FR,France,2001,0.7
F,FR,France,2002,0.7
F,FR,France,2003,0.6
F,FR,France,2004,0.7
F,FR,France,2005,0.5
F,FR,France,2006,0.5
F,FR,France,2007,0.5
F,FR,France,2008,0.5
F,FR,France,2009,0.6
F,FR,France,2010,0.5
F,FR,France,2011,0.45
F,FR,France,2012,0.48
F,FR,France,2013,0.45
F,FR,France,2014,0.32
F,FR,France,2015,0.36
F,FR,France,2016,0.27
F,FR,France,2017,0.3
F,FR,France,2018,0.35
F,FR,France,2019,0.38
F,FR,France,2020,0.35
F,FR,France,2021,0.44
F,HR,Croatia,2002,1.2
F,HR,Croatia,2003,1.0
F,HR,Croatia,2004,1.5
F,HR,Croatia,2005,1.1
F,HR,Croatia,2006,1.2
F,HR,Croatia,2007,1.0
F,HR,Croatia,2008,1.0
F,HR,Croatia,2009,1.2
F,HR,Croatia,2010,1.3
F,HR,Croatia,2011,0.82
F,HR,Croatia,2012,0.64
F,HR,Croatia,2013,0.95
F,HR,Croatia,2014,0.92
F,HR,Croatia,2015,0.82
F,HR,Croatia,2016,0.97
F,HR,Croatia,2017,0.93
F,HR,Croatia,2018,0.37
F,HR,Croatia,2019,0.51
F,HR,Croatia,2020,0.83
F,HR,Croatia,2021,0.57
F,HU,Hungary,2000,2.1
F,HU,Hungary,2001,1.6
F,HU,Hungary,2002,2.0
F,HU,Hungary,2003,1.5
F,HU,Hungary,2004,1.6
F,HU,Hungary,2005,1.7
F,HU,Hungary,2006,1.6
F,HU,Hungary,2007,1.4
F,HU,Hungary,2008,1.6
F,HU,Hungary,2009,1.2
F,HU,Hungary,2010,1.1
F,HU,Hungary,2011,1.41
F,HU,Hungary,2012,1.07
F,HU,Hungary,2013,0.98
F,HU,Hungary,2014,0.8
F,HU,Hungary,2015,1.09
F,HU,Hungary,2016,0.74
F,HU,Hungary,2017,0.7
F,HU,Hungary,2018,0.64
F,HU,Hungary,2019,0.72
F,HU,Hungary,2020,0.59
F,HU,Hungary,2021,0.4
F,IE,Ireland,2000,0.4
F,IE,Ireland,2001,0.3
F,IE,Ireland,2002,0.4
F,IE,Ireland,2003,0.3
F,IE,Ireland,2004,0.3
F,IE,Ireland,2005,0.3
F,IE,Ireland,2006,0.4
F,IE,Ireland,2007,0.3
F,IE,Ireland,2008,0.3
F,IE,Ireland,2009,0.2
F,IE,Ireland,2010,0.2
F,IE,Ireland,2011,0.03
F,IE,Ireland,2012,0.4
F,IE,Ireland,2013,0.2
F,IE,Ireland,2014,0.22
F,IE,Ireland,2015,0.2
F,IE,Ireland,2016,0.06
F,IE,Ireland,2017,0.11
F,IE,Ireland,2018,0.12
F,IE,Ireland,2019,0.07
F,IE,Ireland,2020,0.07
F,IE,Ireland,2021,0.08
F,IS,Iceland,2000,1.1
F,IS,Iceland,2002,0.5
F,IS,Iceland,2004,1.7
F,IS,Iceland,2008,0.5
F,IS,Iceland,2011,0.52
F,IS,Iceland,2012,0.66
F,IS,Iceland,2013,0.45
F,IS,Iceland,2014,0.53
F,IS,Iceland,2016,0.63
F,IS,Iceland,2017,1.13
F,IS,Iceland,2018,0
F,IS,Iceland,2019,0
F,IS,Iceland,2020,1.24
F,IS,Iceland,2021,0
F,IT,Italy,2000,0.5
F,IT,Italy,2001,0.4
F,IT,Italy,2002,0.5
F,IT,Italy,2003,0.6
F,IT,Italy,2006,0.5
F,IT,Italy,2007,0.5
F,IT,Italy,2008,0.4
F,IT,Italy,2009,0.5
F,IT,Italy,2010,0.4
F,IT,Italy,2011,0.35
F,IT,Italy,2012,0.37
F,IT,Italy,2013,0.41
F,IT,Italy,2014,0.35
F,IT,Italy,2015,0.31
F,IT,Italy,2016,0.36
F,IT,Italy,2017,0.32
F,IT,Italy,2018,0.31
F,IT,Italy,2019,0.25
F,IT,Italy,2020,0.28
F,IT,Italy,2021,0.32
F,LI,Liechtenstein,2017,0
F,LI,Liechtenstein,2018,0
F,LI,Liechtenstein,2019,0
F,LI,Liechtenstein,2020,0
F,LI,Liechtenstein,2021,0
F,LT,Lithuania,2000,5.6
F,LT,Lithuania,2001,5.2
F,LT,Lithuania,2002,3.3
F,LT,Lithuania,2003,5.7
F,LT,Lithuania,2004,5.1
F,LT,Lithuania,2005,5.1
F,LT,Lithuania,2006,4.0
F,LT,Lithuania,2007,3.5
F,LT,Lithuania,2008,4.3
F,LT,Lithuania,2009,3.2
F,LT,Lithuania,2010,3.1
F,LT,Lithuania,2011,2.85
F,LT,Lithuania,2012,2.25
F,LT,Lithuania,2013,2.5
F,LT,Lithuania,2014,1.88
F,LT,Lithuania,2015,2.44
F,LT,Lithuania,2016,1.8
F,LT,Lithuania,2017,1.45
F,LT,Lithuania,2018,0.69
F,LT,Lithuania,2019,0.98
F,LT,Lithuania,2020,1.04
F,LT,Lithuania,2021,0.99
F,LU,Luxembourg,2000,0.9
F,LU,Luxembourg,2001,1.4
F,LU,Luxembourg,2002,1.6
F,LU,Luxembourg,2003,1.1
F,LU,Luxembourg,2004,0.5
F,LU,Luxembourg,2005,0.8
F,LU,Luxembourg,2006,0.7
F,LU,Luxembourg,2007,0.4
F,LU,Luxembourg,2008,0.4
F,LU,Luxembourg,2009,0.4
F,LU,Luxembourg,2010,1.7
F,LU,Luxembourg,2013,0.33
F,LU,Luxembourg,2014,0.99
F,LU,Luxembourg,2015,0.67
F,LU,Luxembourg,2016,0.29
F,LU,Luxembourg,2017,0
F,LU,Luxembourg,2018,0.64
F,LU,Luxembourg,2019,0.72
F,LU,Luxembourg,2020,0
F,LU,Luxembourg,2021,0.58
F,LV,Latvia,2000,6.4
F,LV,Latvia,2001,6.9
F,LV,Latvia,2002,7.0
F,LV,Latvia,2003,6.7
F,LV,Latvia,2004,6.5
F,LV,Latvia,2005,5.3
F,LV,Latvia,2006,4.9
F,LV,Latvia,2007,3.9
F,LV,Latvia,2008,4.5
F,LV,Latvia,2009,2.7
F,LV,Latvia,2010,3.5
F,LV,Latvia,2011,3
F,LV,Latvia,2012,2.99
F,LV,Latvia,2013,3.05
F,LV,Latvia,2014,3.5
F,LV,Latvia,2015,2.87
F,LV,Latvia,2016,1.95
F,LV,Latvia,2017,1.99
F,LV,Latvia,2018,1.94
F,LV,Latvia,2019,1.13
F,LV,Latvia,2020,1.88
F,LV,Latvia,2021,1.73
F,MK,North Macedonia,2000,2.0
F,MK,North Macedonia,2001,1.4
F,MK,North Macedonia,2002,1.2
F,MK,North Macedonia,2003,1.8
F,MK,North Macedonia,2004,2.1
F,MK,North Macedonia,2005,1.0
F,MK,North Macedonia,2006,1.4
F,MK,North Macedonia,2007,1.3
F,MK,North Macedonia,2008,0.8
F,MK,North Macedonia,2009,0.9
F,MK,North Macedonia,2010,1.3
F,MT,Malta,2000,1.1
F,MT,Malta,2001,2.2
F,MT,Malta,2002,1.0
F,MT,Malta,2004,1.8
F,MT,Malta,2005,0.6
F,MT,Malta,2007,0.0
F,MT,Malta,2008,0.5
F,MT,Malta,2009,1.0
F,MT,Malta,2010,0.6
F,MT,Malta,2011,0.92
F,MT,Malta,2012,1.05
F,MT,Malta,2015,0.45
F,MT,Malta,2016,0.86
F,MT,Malta,2017,0.51
F,MT,Malta,2018,1.39
F,MT,Malta,2019,0.67
F,MT,Malta,2020,0.3
F,MT,Malta,2021,0
F,NL,Netherlands,2000,0.7
F,NL,Netherlands,2001,0.8
F,NL,Netherlands,2002,0.7
F,NL,Netherlands,2003,0.9
F,NL,Netherlands,2004,0.6
F,NL,Netherlands,2005,0.7
F,NL,Netherlands,2006,0.6
F,NL,Netherlands,2007,0.5
F,NL,Netherlands,2008,0.6
F,NL,Netherlands,2009,0.6
F,NL,Netherlands,2010,0.7
F,NL,Netherlands,2011,0.61
F,NL,Netherlands,2012,0.57
F,NL,Netherlands,2013,0.67
F,NL,Netherlands,2014,0.37
F,NL,Netherlands,2015,0.5
F,NL,Netherlands,2016,0.41
F,NL,Netherlands,2017,0.5
F,NL,Netherlands,2018,0.44
F,NL,Netherlands,2019,0.49
F,NL,Netherlands,2020,0.5
F,NL,Netherlands,2021,0.43
F,NO,Norway,2000,1.0
F,NO,Norway,2001,0.5
