sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AT,Austria,2000,2.8
F,AT,Austria,2001,2.6
F,AT,Austria,2002,2.4
F,AT,Austria,2003,2.2
F,AT,Austria,2004,3.2
F,AT,Austria,2005,3.3
F,AT,Austria,2006,2.8
F,AT,Austria,2007,2.7
F,AT,Austria,2008,2.6
F,AT,Austria,2009,2.5
F,AT,Austria,2010,2.3
F,AT,Austria,2011,2.1
F,AT,Austria,2012,2.1
F,AT,Austria,2013,2.1
F,AT,Austria,2014,2.0
F,AT,Austria,2015,2.0
F,AT,Austria,2016,2.0
F,AT,Austria,2017,1.6
F,AT,Austria,2018,1.7
F,AT,Austria,2019,1.8
F,AT,Austria,2020,1.7
F,AT,Austria,2021,1.7
F,AT,Austria,2022,1.6
F,BA,Bosnia and Herzegovina,2021,2.0
F,BA,Bosnia and Herzegovina,2022,2.0
F,BE,Belgium,2001,0.5
F,BE,Belgium,2002,0.5
F,BE,Belgium,2003,0.6
F,BE,Belgium,2004,0.4
F,BE,Belgium,2005,0.4
F,BE,Belgium,2006,0.3
F,BE,Belgium,2007,0.3
F,BE,Belgium,2008,0.3
F,BE,Belgium,2009,0.3
F,BE,Belgium,2010,0.4
F,BE,Belgium,2012,0.3
F,BE,Belgium,2013,0.8
F,BE,Belgium,2014,0.6
F,BE,Belgium,2015,0.6
F,BE,Belgium,2016,0.5
F,BE,Belgium,2017,0.6
F,BE,Belgium,2018,0.6
F,BE,Belgium,2019,0.7
F,BE,Belgium,2020,0.6
F,BE,Belgium,2021,1.0
F,BE,Belgium,2022,0.7
F,BG,Bulgaria,2000,0.6
F,BG,Bulgaria,2001,1.1
F,BG,Bulgaria,2002,0.8
F,BG,Bulgaria,2003,1.1
F,BG,Bulgaria,2004,1.0
F,BG,Bulgaria,2005,1.3
F,BG,Bulgaria,2006,1.2
F,BG,Bulgaria,2007,1.1
F,BG,Bulgaria,2008,0.8
F,BG,Bulgaria,2009,0.5
F,BG,Bulgaria,2010,0.7
F,BG,Bulgaria,2011,0.5
F,BG,Bulgaria,2012,0.6
F,BG,Bulgaria,2013,0.7
F,BG,Bulgaria,2014,0.7
F,BG,Bulgaria,2015,0.5
F,BG,Bulgaria,2016,0.5
F,BG,Bulgaria,2017,0.4
F,BG,Bulgaria,2018,0.5
F,BG,Bulgaria,2019,0.6
F,BG,Bulgaria,2020,0.5
F,BG,Bulgaria,2021,1.3
F,BG,Bulgaria,2022,1.1
F,CH,Switzerland,2000,2.9
F,CH,Switzerland,2001,5.6
F,CH,Switzerland,2002,5.6
F,CH,Switzerland,2003,5.4
F,CH,Switzerland,2004,5.5
F,CH,Switzerland,2005,4.9
F,CH,Switzerland,2006,5.2
F,CH,Switzerland,2007,5.2
F,CH,Switzerland,2008,4.4
F,CH,Switzerland,2009,4.1
F,CH,Switzerland,2010,4.2
F,CH,Switzerland,2011,3.7
F,CH,Switzerland,2012,3.4
F,CH,Switzerland,2013,3.5
F,CH,Switzerland,2014,3.2
F,CH,Switzerland,2015,3.2
F,CH,Switzerland,2016,3.3
F,CH,Switzerland,2017,3.1
F,CH,Switzerland,2018,2.8
F,CH,Switzerland,2019,2.7
F,CH,Switzerland,2020,2.8
F,CH,Switzerland,2021,2.5
F,CH,Switzerland,2022,2.6
F,CY,Cyprus,2000,2.6
F,CY,Cyprus,2001,2.6
F,CY,Cyprus,2002,2.5
F,CY,Cyprus,2003,2.0
F,CY,Cyprus,2004,3.2
F,CY,Cyprus,2005,4.6
F,CY,Cyprus,2006,3.0
F,CY,Cyprus,2007,2.1
F,CY,Cyprus,2008,1.6
F,CY,Cyprus,2009,1.5
F,CY,Cyprus,2010,1.8
F,CY,Cyprus,2011,2.2
F,CY,Cyprus,2012,2.1
F,CY,Cyprus,2013,2.3
F,CY,Cyprus,2014,2.5
F,CY,Cyprus,2015,2.9
F,CY,Cyprus,2016,2.7
F,CY,Cyprus,2017,1.9
F,CY,Cyprus,2018,1.9
F,CY,Cyprus,2019,1.3
F,CY,Cyprus,2020,1.2
F,CY,Cyprus,2021,1.6
F,CY,Cyprus,2022,1.4
F,CZ,Czechia,2002,1.7
F,CZ,Czechia,2003,1.4
F,CZ,Czechia,2004,1.6
F,CZ,Czechia,2005,1.4
F,CZ,Czechia,2006,1.3
F,CZ,Czechia,2007,1.2
F,CZ,Czechia,2008,1.1
F,CZ,Czechia,2009,1.0
F,CZ,Czechia,2010,0.8
F,CZ,Czechia,2011,1.0
F,CZ,Czechia,2012,0.7
F,CZ,Czechia,2013,0.9
F,CZ,Czechia,2014,0.9
F,CZ,Czechia,2015,0.8
F,CZ,Czechia,2016,1.0
F,CZ,Czechia,2017,0.8
F,CZ,Czechia,2018,0.7
F,CZ,Czechia,2019,0.8
F,CZ,Czechia,2020,0.9
F,CZ,Czechia,2021,0.6
F,CZ,Czechia,2022,0.4
F,DE,Germany,2000,1.5
F,DE,Germany,2001,1.6
F,DE,Germany,2002,1.6
F,DE,Germany,2003,1.6
F,DE,Germany,2004,1.6
F,DE,Germany,2005,1.8
F,DE,Germany,2006,1.5
F,DE,Germany,2007,1.6
F,DE,Germany,2008,1.3
F,DE,Germany,2009,1.3
F,DE,Germany,2010,1.3
F,DE,Germany,2011,1.7
F,DE,Germany,2012,1.7
F,DE,Germany,2013,1.5
F,DE,Germany,2014,1.4
F,DE,Germany,2015,1.4
F,DE,Germany,2016,1.4
F,DE,Germany,2017,1.3
F,DE,Germany,2018,1.3
F,DE,Germany,2019,1.3
F,DE,Germany,2021,1.7
F,DE,Germany,2022,1.8
F,DK,Denmark,2000,1.3
F,DK,Denmark,2001,1.2
