sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AT,Austria,2000,10.7
F,AT,Austria,2001,10.7
F,AT,Austria,2002,10.2
F,AT,Austria,2003,9.8
F,AT,Austria,2004,9.1
F,AT,Austria,2005,8.9
F,AT,Austria,2006,9.8
F,AT,Austria,2007,10.2
F,AT,Austria,2008,9.9
F,AT,Austria,2009,8.9
F,AT,Austria,2010,8.3
F,AT,Austria,2011,8.0
F,AT,Austria,2012,7.6
F,AT,Austria,2013,7.1
F,AT,Austria,2014,6.5
F,AT,Austria,2015,6.8
F,AT,Austria,2016,6.0
F,AT,Austria,2017,5.8
F,AT,Austria,2018,5.7
F,AT,Austria,2019,6.1
F,AT,Austria,2020,6.3
F,AT,Austria,2021,6.3
F,AT,Austria,2022,7.4
F,BE,Belgium,2000,11.0
F,BE,Belgium,2001,11.3
F,BE,Belgium,2002,11.0
F,BE,Belgium,2003,11.6
F,BE,Belgium,2004,10.8
F,BE,Belgium,2005,10.5
F,BE,Belgium,2006,10.0
F,BE,Belgium,2007,10.3
F,BE,Belgium,2008,10.6
F,BE,Belgium,2009,9.3
F,BE,Belgium,2010,10.0
F,BE,Belgium,2011,9.7
F,BE,Belgium,2012,9.5
F,BE,Belgium,2013,8.7
F,BE,Belgium,2014,7.7
F,BE,Belgium,2015,8.6
F,BE,Belgium,2016,7.4
F,BE,Belgium,2017,7.3
F,BE,Belgium,2018,6.5
F,BE,Belgium,2019,6.2
F,BE,Belgium,2020,5.9
F,BE,Belgium,2021,4.5
F,BE,Belgium,2022,4.8
F,BG,Bulgaria,2001,20.0
F,BG,Bulgaria,2002,19.4
F,BG,Bulgaria,2003,21.3
F,BG,Bulgaria,2004,20.6
F,BG,Bulgaria,2005,20.3
F,BG,Bulgaria,2006,17.0
F,BG,Bulgaria,2007,14.7
F,BG,Bulgaria,2008,15.5
F,BG,Bulgaria,2009,15.8
F,BG,Bulgaria,2010,12.9
F,BG,Bulgaria,2011,12.6
F,BG,Bulgaria,2012,13.0
F,BG,Bulgaria,2013,12.7
F,BG,Bulgaria,2014,12.9
F,BG,Bulgaria,2015,13.4
F,BG,Bulgaria,2016,13.9
F,BG,Bulgaria,2017,13.5
F,BG,Bulgaria,2018,12.8
F,BG,Bulgaria,2019,13.3
F,BG,Bulgaria,2020,12.1
F,BG,Bulgaria,2021,12.9
F,BG,Bulgaria,2022,11.7
F,CH,Switzerland,2000,7.1
F,CH,Switzerland,2001,6.5
F,CH,Switzerland,2002,7.1
F,CH,Switzerland,2003,9.1
F,CH,Switzerland,2004,9.1
