prof_pos,pos,geo,name,TIME_PERIOD,OBS_VALUE
BRD,Board members,AT,Austria,2003,5.6
BRD,Board members,AT,Austria,2004,6.0
BRD,Board members,AT,Austria,2005,7.1
BRD,Board members,AT,Austria,2006,5.9
BRD,Board members,AT,Austria,2007,5.0
BRD,Board members,AT,Austria,2008,6.4
BRD,Board members,AT,Austria,2009,7.0
BRD,Board members,AT,Austria,2010,8.7
BRD,Board members,AT,Austria,2011,11.1
BRD,Board members,AT,Austria,2012,11.9
BRD,Board members,AT,Austria,2013,12.6
BRD,Board members,AT,Austria,2014,17.1
BRD,Board members,AT,Austria,2015,20.0
BRD,Board members,AT,Austria,2016,18.1
BRD,Board members,AT,Austria,2017,19.2
BRD,Board members,AT,Austria,2018,26.1
BRD,Board members,AT,Austria,2019,31.3
BRD,Board members,AT,Austria,2020,31.5
BRD,Board members,AT,Austria,2021,34.6
BRD,Board members,AT,Austria,2022,33.2
BRD,Board members,AT,Austria,2023,33.6
BRD,Board members,BA,Bosnia and Herzegovina,2018,14.8
BRD,Board members,BA,Bosnia and Herzegovina,2019,17.0
BRD,Board members,BA,Bosnia and Herzegovina,2020,17.0
BRD,Board members,BA,Bosnia and Herzegovina,2021,11.3
BRD,Board members,BA,Bosnia and Herzegovina,2022,15.1
BRD,Board members,BA,Bosnia and Herzegovina,2023,14.3
BRD,Board members,BE,Belgium,2003,6.0
BRD,Board members,BE,Belgium,2004,6.8
BRD,Board members,BE,Belgium,2005,6.2
BRD,Board members,BE,Belgium,2006,5.8
BRD,Board members,BE,Belgium,2007,6.4
BRD,Board members,BE,Belgium,2008,7.2
BRD,Board members,BE,Belgium,2009,7.6
BRD,Board members,BE,Belgium,2010,10.5
BRD,Board members,BE,Belgium,2011,10.9
BRD,Board members,BE,Belgium,2012,12.9
BRD,Board members,BE,Belgium,2013,16.7
BRD,Board members,BE,Belgium,2014,22.4
BRD,Board members,BE,Belgium,2015,26.0
BRD,Board members,BE,Belgium,2016,28.6
BRD,Board members,BE,Belgium,2017,30.7
BRD,Board members,BE,Belgium,2018,32.0
BRD,Board members,BE,Belgium,2019,35.9
BRD,Board members,BE,Belgium,2020,38.4
BRD,Board members,BE,Belgium,2021,37.9
BRD,Board members,BE,Belgium,2022,39.3
BRD,Board members,BE,Belgium,2023,38.8
BRD,Board members,BG,Bulgaria,2003,11.4
BRD,Board members,BG,Bulgaria,2004,18.3
BRD,Board members,BG,Bulgaria,2005,18.7
BRD,Board members,BG,Bulgaria,2006,17.1
BRD,Board members,BG,Bulgaria,2007,14.5
BRD,Board members,BG,Bulgaria,2008,11.6
BRD,Board members,BG,Bulgaria,2009,17.2
BRD,Board members,BG,Bulgaria,2010,11.2
BRD,Board members,BG,Bulgaria,2011,15.2
BRD,Board members,BG,Bulgaria,2012,11.6
BRD,Board members,BG,Bulgaria,2013,16.7
BRD,Board members,BG,Bulgaria,2014,17.6
BRD,Board members,BG,Bulgaria,2015,19.0
BRD,Board members,BG,Bulgaria,2016,15.3
BRD,Board members,BG,Bulgaria,2017,17.1
BRD,Board members,BG,Bulgaria,2018,14.5
BRD,Board members,BG,Bulgaria,2019,18.5
BRD,Board members,BG,Bulgaria,2020,12.9
BRD,Board members,BG,Bulgaria,2021,21.7
BRD,Board members,BG,Bulgaria,2022,14.8
BRD,Board members,BG,Bulgaria,2023,18.3
BRD,Board members,CY,Cyprus,2003,6.2
BRD,Board members,CY,Cyprus,2004,6.6
BRD,Board members,CY,Cyprus,2005,6.9
BRD,Board members,CY,Cyprus,2006,5.9
BRD,Board members,CY,Cyprus,2007,2.1
BRD,Board members,CY,Cyprus,2008,2.8
BRD,Board members,CY,Cyprus,2009,3.3
BRD,Board members,CY,Cyprus,2010,4.0
BRD,Board members,CY,Cyprus,2011,4.6
BRD,Board members,CY,Cyprus,2012,7.7
BRD,Board members,CY,Cyprus,2013,7.3
