sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AL,Albania,2017,14.0
F,AL,Albania,2018,16.3
F,AL,Albania,2019,15.9
F,AL,Albania,2020,11.8
F,AL,Albania,2021,12.3
F,AT,Austria,2008,0.7
F,AT,Austria,2009,0.5
F,AT,Austria,2010,0.7
F,AT,Austria,2011,0.4
F,AT,Austria,2012,0.4
F,AT,Austria,2013,0.5
F,AT,Austria,2014,0.1
F,AT,Austria,2015,0.1
F,AT,Austria,2016,0.2
F,AT,Austria,2017,0.3
F,AT,Austria,2018,0.1
F,AT,Austria,2019,0.3
F,AT,Austria,2020,0.1
F,AT,Austria,2021,0.3
F,AT,Austria,2022,0.4
F,BE,Belgium,2008,0.5
F,BE,Belgium,2009,0.6
F,BE,Belgium,2010,0.4
F,BE,Belgium,2011,1.8
F,BE,Belgium,2012,1.8
F,BE,Belgium,2013,2.4
F,BE,Belgium,2014,2.7
F,BE,Belgium,2015,2.7
F,BE,Belgium,2016,2.7
F,BE,Belgium,2017,2.7
F,BE,Belgium,2018,2.0
F,BE,Belgium,2019,2.1
F,BE,Belgium,2020,1.7
F,BE,Belgium,2021,1.9
F,BE,Belgium,2022,1.2
F,BE,Belgium,2023,1.2
F,BG,Bulgaria,2008,16.9
F,BG,Bulgaria,2009,11.8
F,BG,Bulgaria,2010,11.3
F,BG,Bulgaria,2011,10.4
F,BG,Bulgaria,2012,8.7
F,BG,Bulgaria,2013,9.3
F,BG,Bulgaria,2014,6.1
F,BG,Bulgaria,2015,5.0
F,BG,Bulgaria,2016,3.1
F,BG,Bulgaria,2017,2.5
F,BG,Bulgaria,2018,1.9
F,BG,Bulgaria,2019,1.2
F,BG,Bulgaria,2020,1.5
F,BG,Bulgaria,2021,1.0
F,BG,Bulgaria,2022,1.3
F,BG,Bulgaria,2023,1.1
F,CH,Switzerland,2008,1.2
F,CH,Switzerland,2009,1.1
F,CH,Switzerland,2010,1.4
F,CH,Switzerland,2011,1.0
F,CH,Switzerland,2012,1.3
F,CH,Switzerland,2013,1.3
F,CH,Switzerland,2014,1.5
F,CH,Switzerland,2015,0.6
F,CH,Switzerland,2016,0.5
F,CH,Switzerland,2017,0.6
F,CH,Switzerland,2018,0.7
F,CH,Switzerland,2019,0.8
F,CH,Switzerland,2020,0.5
F,CH,Switzerland,2021,0.5
F,CH,Switzerland,2022,0.7
F,CY,Cyprus,2008,3.5
F,CY,Cyprus,2009,4.0
F,CY,Cyprus,2010,4.9
F,CY,Cyprus,2011,4.9
F,CY,Cyprus,2012,4.3
F,CY,Cyprus,2013,4.8
F,CY,Cyprus,2014,5.1
F,CY,Cyprus,2015,1.7
F,CY,Cyprus,2016,0.6
F,CY,Cyprus,2017,1.8
F,CY,Cyprus,2018,1.4
F,CY,Cyprus,2019,1.3
F,CY,Cyprus,2020,0.5
F,CY,Cyprus,2021,0.2
F,CY,Cyprus,2022,0.1
F,CZ,Czechia,2008,0.7
F,CZ,Czechia,2009,0.7
F,CZ,Czechia,2010,1.1
F,CZ,Czechia,2011,1.2
F,CZ,Czechia,2012,1.1
F,CZ,Czechia,2013,1.2
F,CZ,Czechia,2014,1.4
F,CZ,Czechia,2015,0.9
F,CZ,Czechia,2016,0.7
F,CZ,Czechia,2017,0.5
F,CZ,Czechia,2018,0.4
F,CZ,Czechia,2019,0.6
F,CZ,Czechia,2020,0.3
F,CZ,Czechia,2021,0.3
F,CZ,Czechia,2022,0.3
F,CZ,Czechia,2023,0.5
F,DE,Germany,2008,2.2
F,DE,Germany,2009,2.2
F,DE,Germany,2010,2.0
F,DE,Germany,2011,1.9
F,DE,Germany,2012,1.7
F,DE,Germany,2013,1.7
F,DE,Germany,2014,1.8
F,DE,Germany,2015,0.4
F,DE,Germany,2016,0.3
F,DE,Germany,2017,0.3
F,DE,Germany,2018,0.2
F,DE,Germany,2019,0.3
F,DE,Germany,2020,0.1
F,DE,Germany,2021,0.1
F,DE,Germany,2022,0.3
F,DK,Denmark,2008,0.7
F,DK,Denmark,2009,1.9
F,DK,Denmark,2010,1.5
F,DK,Denmark,2011,0.8
F,DK,Denmark,2012,1.5
F,DK,Denmark,2013,1.4
F,DK,Denmark,2014,1.0
F,DK,Denmark,2015,1.4
F,DK,Denmark,2016,1.2
F,DK,Denmark,2017,0.9
F,DK,Denmark,2018,1.3
F,DK,Denmark,2019,1.9
F,DK,Denmark,2020,1.6
F,DK,Denmark,2021,1.4
F,DK,Denmark,2022,2.2
F,DK,Denmark,2023,3.1
F,EE,Estonia,2008,8.7
F,EE,Estonia,2009,4.8
F,EE,Estonia,2010,5.1
F,EE,Estonia,2011,8.5
F,EE,Estonia,2012,9.4
F,EE,Estonia,2013,9.9
F,EE,Estonia,2014,13.5
F,EE,Estonia,2015,14.5
F,EE,Estonia,2016,17.7
F,EE,Estonia,2017,13.9
F,EE,Estonia,2018,17.8
F,EE,Estonia,2019,17.9
F,EE,Estonia,2020,14.6
F,EE,Estonia,2021,9.7
F,EE,Estonia,2022,10.1
F,EE,Estonia,2023,14.7
F,EL,Greece,2008,6.3
F,EL,Greece,2009,6.8
F,EL,Greece,2010,6.7
F,EL,Greece,2011,8.6
F,EL,Greece,2012,9.1
F,EL,Greece,2013,9.9
F,EL,Greece,2014,12.1
F,EL,Greece,2015,13.3
F,EL,Greece,2016,14.4
F,EL,Greece,2017,11.1
F,EL,Greece,2018,9.9
F,EL,Greece,2019,9.3
F,EL,Greece,2020,7.6
F,EL,Greece,2021,7.2
F,EL,Greece,2022,10.1
F,ES,Spain,2008,0.5
F,ES,Spain,2009,0.6
F,ES,Spain,2010,0.4
F,ES,Spain,2011,0.6
F,ES,Spain,2012,0.9
F,ES,Spain,2013,0.8
F,ES,Spain,2014,0.7
F,ES,Spain,2015,0.6
F,ES,Spain,2016,0.6
F,ES,Spain,2017,0.2
F,ES,Spain,2018,0.1
F,ES,Spain,2019,0.2
F,ES,Spain,2020,0.5
F,ES,Spain,2021,1.3
F,ES,Spain,2022,1.4
F,ES,Spain,2023,2.1
F,FI,Finland,2008,1.0
F,FI,Finland,2009,4.4
F,FI,Finland,2010,4.7
F,FI,Finland,2011,5.8
F,FI,Finland,2012,5.6
F,FI,Finland,2013,5.4
F,FI,Finland,2014,4.0
F,FI,Finland,2015,5.0
F,FI,Finland,2016,5.0
F,FI,Finland,2017,4.8
F,FI,Finland,2018,5.9
F,FI,Finland,2019,5.6
F,FI,Finland,2020,6.4
F,FI,Finland,2021,5.0
F,FI,Finland,2022,7.2
F,FI,Finland,2023,9.4
F,FR,France,2008,2.3
F,FR,France,2009,2.3
F,FR,France,2010,2.3
F,FR,France,2011,2.8
F,FR,France,2012,2.9
F,FR,France,2013,3.3
F,FR,France,2014,3.4
F,FR,France,2015,1.4
F,FR,France,2016,1.6
F,FR,France,2017,1.0
F,FR,France,2018,1.5
F,FR,France,2019,1.3
F,FR,France,2020,3.3
F,FR,France,2021,3.3
F,FR,France,2022,3.9
F,HR,Croatia,2010,6.6
F,HR,Croatia,2011,5.2
F,HR,Croatia,2012,4.0
F,HR,Croatia,2013,3.8
F,HR,Croatia,2014,4.0
F,HR,Croatia,2015,2.2
F,HR,Croatia,2016,1.9
F,HR,Croatia,2017,1.7
F,HR,Croatia,2018,1.7
F,HR,Croatia,2019,1.7
F,HR,Croatia,2020,1.7
F,HR,Croatia,2021,2.0
F,HR,Croatia,2022,1.5
F,HU,Hungary,2008,3.8
F,HU,Hungary,2009,2.3
F,HU,Hungary,2010,2.0
F,HU,Hungary,2011,2.9
