sex,name,TIME_PERIOD,OBS_VALUE
F,Austria,2009,11.9
F,Austria,2010,11.2
F,Austria,2011,10.4
F,Austria,2012,10.1
F,Austria,2013,10.3
F,Austria,2014,10.9
F,Austria,2015,9.7
F,Austria,2016,10.0
F,Austria,2017,9.6
F,Austria,2018,10.4
F,Austria,2019,10.3
F,Austria,2020,10.2
F,Austria,2021,10.3
F,Austria,2022,9.6
F,Austria,2023,10.0
F,Bosnia and Herzegovina,2021,28.8
F,Bosnia and Herzegovina,2022,27.4
F,Belgium,2009,14.4
F,Belgium,2010,14.1
F,Belgium,2011,15.3
F,Belgium,2012,15.4
F,Belgium,2013,15.7
F,Belgium,2014,14.2
F,Belgium,2015,15.0
F,Belgium,2016,14.0
F,Belgium,2017,13.2
F,Belgium,2018,13.1
F,Belgium,2019,12.5
F,Belgium,2020,12.4
F,Belgium,2021,9.7
F,Belgium,2022,9.1
F,Belgium,2023,9.5
F,Bulgaria,2009,24.1
F,Bulgaria,2010,25.9
F,Bulgaria,2011,26.7
F,Bulgaria,2012,26.5
F,Bulgaria,2013,27.9
F,Bulgaria,2014,26.9
F,Bulgaria,2015,24.8
F,Bulgaria,2016,25.9
F,Bulgaria,2017,23.3
F,Bulgaria,2018,21.9
F,Bulgaria,2019,20.4
F,Bulgaria,2020,21.7
F,Bulgaria,2021,20.9
F,Bulgaria,2022,16.9
F,Bulgaria,2023,15.2
F,Switzerland,2010,9.6
F,Switzerland,2011,8.7
F,Switzerland,2012,8.7
F,Switzerland,2013,8.6
F,Switzerland,2014,8.0
F,Switzerland,2015,7.7
F,Switzerland,2016,7.8
F,Switzerland,2017,7.1
F,Switzerland,2018,6.5
F,Switzerland,2019,6.0
F,Switzerland,2020,5.9
F,Cyprus,2009,14.2
F,Cyprus,2010,14.8
F,Cyprus,2011,15.4
F,Cyprus,2012,17.4
F,Cyprus,2013,20.1
F,Cyprus,2014,18.5
F,Cyprus,2015,19.2
F,Cyprus,2016,19.5
F,Cyprus,2017,19.3
F,Cyprus,2018,15.5
F,Cyprus,2019,15.9
F,Cyprus,2020,16.3
F,Cyprus,2021,16.3
F,Cyprus,2022,17.0
F,Cyprus,2023,14.8
F,Czechia,2009,17.6
F,Czechia,2010,17.7
F,Czechia,2011,16.9
F,Czechia,2012,17.7
F,Czechia,2013,17.7
F,Czechia,2014,17.4
F,Czechia,2015,17.2
F,Czechia,2016,16.8
F,Czechia,2017,15.5
F,Czechia,2018,15.3
F,Czechia,2019,15.9
F,Czechia,2020,17.6
F,Czechia,2021,17.3
F,Czechia,2022,17.1
F,Czechia,2023,15.5
F,Germany,2009,15.3
F,Germany,2010,14.9
F,Germany,2011,13.5
F,Germany,2012,13.3
F,Germany,2013,12.4
F,Germany,2014,12.4
F,Germany,2015,12.1
F,Germany,2016,12.5
F,Germany,2017,12.0
F,Germany,2018,11.3
F,Germany,2019,11.0
F,Germany,2020,10.7
F,Germany,2021,10.9
F,Germany,2022,10.2
F,Germany,2023,10.0
F,Denmark,2009,7.3
F,Denmark,2010,7.7
F,Denmark,2011,8.9
F,Denmark,2012,9.0
F,Denmark,2013,8.7
F,Denmark,2014,8.7
F,Denmark,2015,8.9
F,Denmark,2016,8.7
F,Denmark,2017,10.5
F,Denmark,2018,9.7
F,Denmark,2019,9.6
F,Denmark,2020,10.5
F,Denmark,2021,8.9
F,Denmark,2022,8.3
F,Denmark,2023,8.9
F,EA20,2009,16.5
F,EA20,2010,16.7
F,EA20,2011,16.7
F,EA20,2012,17.1
F,EA20,2013,17.4
F,EA20,2014,17.2
F,EA20,2015,16.7
F,EA20,2016,16.2
F,EA20,2017,15.6
F,EA20,2018,14.9
F,EA20,2019,14.3
F,EA20,2020,15.0
F,EA20,2021,13.8
F,EA20,2022,12.5
F,EA20,2023,12.0
F,Estonia,2009,18.9
F,Estonia,2010,17.9
F,Estonia,2011,15.4
F,Estonia,2012,16.6
F,Estonia,2013,16.1
F,Estonia,2014,15.2
F,Estonia,2015,16.2
F,Estonia,2016,17.9
F,Estonia,2017,12.6
F,Estonia,2018,13.2
F,Estonia,2019,12.2
F,Estonia,2020,12.9
F,Estonia,2021,11.7
F,Estonia,2022,9.2
F,Estonia,2023,8.9
F,Greece,2009,19.9
F,Greece,2010,21.8
F,Greece,2011,25.0
F,Greece,2012,27.7
F,Greece,2013,28.5
F,Greece,2014,26.9
F,Greece,2015,24.6
F,Greece,2016,23.3
F,Greece,2017,23.1
F,Greece,2018,20.6
F,Greece,2019,18.0
F,Greece,2020,18.5
F,Greece,2021,17.9
F,Greece,2022,16.5
F,Greece,2023,17.2
F,Spain,2009,19.5
F,Spain,2010,19.7
F,Spain,2011,20.4
F,Spain,2012,21.6
