sex,geo,TIME_PERIOD,OBS_VALUE
F,AT,2006,24
F,AT,2009,27
F,AT,2012,26
F,AT,2014,23
F,AT,2017,23
F,AT,2020,21
F,BE,2006,22
F,BE,2009,27
F,BE,2012,24
F,BE,2014,23
F,BE,2017,17
F,BE,2020,20
F,BG,2006,30
F,BG,2009,30
F,BG,2012,31
F,BG,2014,25
F,BG,2017,28
F,BG,2020,28
F,CY,2006,16
F,CY,2009,16
F,CY,2012,19
F,CY,2014,19
F,CY,2017,17
F,CY,2020,16
F,CZ,2006,23
F,CZ,2009,19
F,CZ,2012,23
F,CZ,2014,19
F,CZ,2017,21
F,CZ,2020,26
F,DE,2006,25
F,DE,2009,19
F,DE,2012,22
F,DE,2014,21
F,DE,2017,23
F,DE,2020,19
F,DK,2006,29
F,DK,2009,26
F,DK,2012,24
F,DK,2014,23
F,DK,2017,18
F,DK,2020,16
F,EE,2006,24
F,EE,2009,20
F,EE,2012,19
F,EE,2014,16
F,EE,2017,15
F,EE,2020,16
F,EL,2006,37
F,EL,2009,39
F,EL,2012,34
F,EL,2014,33
F,EL,2017,32
F,EL,2020,38
F,ES,2006,28
F,ES,2009,28
F,ES,2012,26
F,ES,2014,25
F,ES,2017,25
F,ES,2020,27
F,EU,2006,27
F,EU,2009,25
F,EU,2012,24
F,EU,2014,22
F,EU,2017,22
F,EU,2020,22
F,EU27_2020,2006,26
F,EU27_2020,2009,25
F,EU27_2020,2012,23
F,EU27_2020,2014,22
F,EU27_2020,2017,23
F,EU27_2020,2020,22
F,EU28,2014,22
F,EU28,2017,22
F,FI,2006,22
F,FI,2009,16
F,FI,2012,22
F,FI,2014,17
F,FI,2017,16
F,FI,2020,16
F,FR,2006,27
F,FR,2009,28
F,FR,2012,25
F,FR,2014,29
F,FR,2017,32
F,FR,2020,27
F,HR,2006,25
F,HR,2009,26
F,HR,2014,30
F,HR,2017,31
F,HR,2020,32
F,HU,2006,29
F,HU,2009,32
F,HU,2012,28
F,HU,2014,23
F,HU,2017,23
F,HU,2020,23
F,IE,2006,29
F,IE,2009,32
F,IE,2012,30
F,IE,2014,22
F,IE,2017,18
F,IE,2020,17
F,IT,2006,24
F,IT,2009,25
F,IT,2012,21
F,IT,2014,17
F,IT,2017,17
F,IT,2020,18
F,LT,2006,20
F,LT,2009,18
F,LT,2012,19
F,LT,2014,16
F,LT,2017,19
F,LT,2020,14
F,LU,2006,23
F,LU,2009,18
F,LU,2012,24
F,LU,2014,19
F,LU,2017,17
F,LU,2020,17
F,LV,2006,21
F,LV,2009,23
F,LV,2012,22
F,LV,2014,18
F,LV,2017,21
F,LV,2020,22
F,MT,2006,22
F,MT,2009,17
F,MT,2012,21
F,MT,2014,17
F,MT,2017,19
F,MT,2020,18
F,NL,2006,27
F,NL,2009,22
F,NL,2012,19
F,NL,2014,19
F,NL,2017,17
F,NL,2020,11
F,PL,2006,30
F,PL,2009,28
F,PL,2012,26
F,PL,2014,24
F,PL,2017,26
F,PL,2020,20
F,PT,2006,14
F,PT,2009,17
F,PT,2012,14
F,PT,2014,18
F,PT,2017,19
F,PT,2020,16
F,RO,2006,20
F,RO,2009,20
F,RO,2012,22
F,RO,2014,22
F,RO,2017,19
F,RO,2020,23
F,SE,2006,22
F,SE,2009,20
F,SE,2012,13
F,SE,2014,12
F,SE,2017,9
F,SE,2020,8
F,SI,2006,21
F,SI,2009,21
F,SI,2012,25
F,SI,2014,23
F,SI,2017,24
F,SI,2020,25
F,SK,2006,19
F,SK,2009,17
F,SK,2012,17
F,SK,2014,13
F,SK,2017,19
F,SK,2020,16
F,UK,2006,32
F,UK,2009,25
F,UK,2012,26
F,UK,2014,20
F,UK,2017,18
F,UK,2020,13
M,AT,2006,38
M,AT,2009,41
M,AT,2012,40
M,AT,2014,28
M,AT,2017,34
M,AT,2020,31
M,BE,2006,30
M,BE,2009,34
M,BE,2012,30
M,BE,2014,28
M,BE,2017,21
M,BE,2020,21
M,BG,2006,42
M,BG,2009,49
M,BG,2012,42
M,BG,2014,45
M,BG,2017,45
M,BG,2020,49
M,CY,2006,48
M,CY,2009,49
M,CY,2012,42
M,CY,2014,44
M,CY,2017,39
M,CY,2020,39
M,CZ,2006,35
M,CZ,2009,34
M,CZ,2012,35
M,CZ,2014,30
M,CZ,2017,38
M,CZ,2020,35
M,DE,2006,36
M,DE,2009,31
M,DE,2012,31
M,DE,2014,34
M,DE,2017,28
M,DE,2020,28
M,DK,2006,35
M,DK,2009,32
M,DK,2012,27
M,DK,2014,23
M,DK,2017,19
M,DK,2020,15
M,EE,2006,45
M,EE,2009,47
M,EE,2012,36
M,EE,2014,29
M,EE,2017,33
M,EE,2020,22
M,EL,2006,48
M,EL,2009,46
M,EL,2012,46
M,EL,2014,43
M,EL,2017,41
M,EL,2020,46
M,ES,2006,40
M,ES,2009,41
M,ES,2012,40
M,ES,2014,34
M,ES,2017,31
M,ES,2020,22
M,EU,2006,37
M,EU,2009,34
M,EU,2012,32
M,EU,2014,31
M,EU,2017,30
M,EU,2020,28
M,EU27_2020,2006,38
M,EU27_2020,2009,35
M,EU27_2020,2012,33
M,EU27_2020,2014,32
M,EU27_2020,2017,32
M,EU27_2020,2020,28
M,EU28,2014,31
M,EU28,2017,30
M,FI,2006,29
M,FI,2009,26
M,FI,2012,28
M,FI,2014,20
M,FI,2017,24
M,FI,2020,14
M,FR,2006,39
M,FR,2009,38
M,FR,2012,31
M,FR,2014,34
M,FR,2017,40
M,FR,2020,29
M,HR,2006,42
M,HR,2009,39
M,HR,2014,37
M,HR,2017,40
M,HR,2020,41
M,HU,2006,44
M,HU,2009,46
M,HU,2012,38
M,HU,2014,38
M,HU,2017,31
M,HU,2020,34
M,IE,2006,28
M,IE,2009,30
M,IE,2012,28
M,IE,2014,21
M,IE,2017,20
M,IE,2020,19
M,IT,2006,39
M,IT,2009,28
M,IT,2012,28
M,IT,2014,26
M,IT,2017,33
M,IT,2020,29
M,LT,2006,50
M,LT,2009,43
M,LT,2012,43
M,LT,2014,38
M,LT,2017,41
M,LT,2020,45
M,LU,2006,29
M,LU,2009,32
M,LU,2012,30
M,LU,2014,24
M,LU,2017,25
M,LU,2020,29
M,LV,2006,53
M,LV,2009,50
M,LV,2012,52
M,LV,2014,45
M,LV,2017,47
M,LV,2020,43
M,MT,2006,29
M,MT,2009,35
M,MT,2012,34
M,MT,2014,23
M,MT,2017,30
M,MT,2020,22
M,NL,2006,31
M,NL,2009,25
M,NL,2012,28
M,NL,2014,26
M,NL,2017,22
M,NL,2020,13
M,PL,2006,40
M,PL,2009,38
M,PL,2012,38
M,PL,2014,33
M,PL,2017,33
M,PL,2020,32
M,PT,2006,35
M,PT,2009,30
M,PT,2012,32
M,PT,2014,34
M,PT,2017,33
M,PT,2020,27
M,RO,2006,42
M,RO,2009,40
M,RO,2012,39
M,RO,2014,33
M,RO,2017,38
M,RO,2020,38
M,SE,2006,15
M,SE,2009,12
M,SE,2012,12
M,SE,2014,11
M,SE,2017,5
M,SE,2020,6
M,SI,2006,25
M,SI,2009,32
M,SI,2012,30
M,SI,2014,39
M,SI,2017,32
M,SI,2020,28
M,SK,2006,32
M,SK,2009,35
M,SK,2012,30
M,SK,2014,29
M,SK,2017,34
M,SK,2020,34
M,UK,2006,33
M,UK,2009,32
M,UK,2012,28
M,UK,2014,23
M,UK,2017,17
M,UK,2020,12
T,AT,2006,31
T,AT,2009,34
T,AT,2012,33
T,AT,2014,26
T,AT,2017,28
T,AT,2020,25
T,BE,2006,26
T,BE,2009,30
T,BE,2012,27
T,BE,2014,25
T,BE,2017,19
T,BE,2020,21
T,BG,2006,36
T,BG,2009,39
T,BG,2012,36
T,BG,2014,35
T,BG,2017,36
T,BG,2020,38
T,CY,2006,31
T,CY,2009,32
T,CY,2012,30
T,CY,2014,31
T,CY,2017,28
T,CY,2020,28
T,CZ,2006,29
T,CZ,2009,26
T,CZ,2012,29
T,CZ,2014,24
