sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AT,Austria,2004,20.0
F,AT,Austria,2005,20.6
F,AT,Austria,2006,19.3
F,AT,Austria,2007,18.9
F,AT,Austria,2008,20.0
F,AT,Austria,2009,22.5
F,AT,Austria,2010,22.6
F,AT,Austria,2011,22.4
F,AT,Austria,2012,24.3
F,AT,Austria,2013,26.6
F,AT,Austria,2014,41.1
F,AT,Austria,2015,41.5
F,AT,Austria,2016,43.2
F,AT,Austria,2017,44.4
F,AT,Austria,2018,44.9
F,AT,Austria,2019,45.9
F,AT,Austria,2020,45.7
F,AT,Austria,2021,46.8
F,AT,Austria,2022,47.6
F,BE,Belgium,2000,38.9
F,BE,Belgium,2001,41.1
F,BE,Belgium,2002,42.6
F,BE,Belgium,2003,42.8
F,BE,Belgium,2004,45.3
F,BE,Belgium,2005,45.5
F,BE,Belgium,2006,47.3
F,BE,Belgium,2007,47.0
F,BE,Belgium,2008,48.5
F,BE,Belgium,2009,48.7
F,BE,Belgium,2010,49.4
F,BE,Belgium,2011,48.4
F,BE,Belgium,2012,50.1
F,BE,Belgium,2013,49.4
F,BE,Belgium,2014,51.4
F,BE,Belgium,2015,49.2
F,BE,Belgium,2016,50.8
F,BE,Belgium,2017,51.4
F,BE,Belgium,2018,54.2
F,BE,Belgium,2019,54.6
F,BE,Belgium,2020,56.2
F,BE,Belgium,2021,57.8
F,BE,Belgium,2022,58.6
F,BG,Bulgaria,2000,24.3
F,BG,Bulgaria,2001,29.7
F,BG,Bulgaria,2002,30.2
F,BG,Bulgaria,2003,31.4
F,BG,Bulgaria,2004,31.6
F,BG,Bulgaria,2005,31.3
F,BG,Bulgaria,2006,32.5
F,BG,Bulgaria,2007,32.0
F,BG,Bulgaria,2008,33.0
F,BG,Bulgaria,2009,35.2
F,BG,Bulgaria,2010,35.9
F,BG,Bulgaria,2011,34.8
F,BG,Bulgaria,2012,34.0
F,BG,Bulgaria,2013,37.7
F,BG,Bulgaria,2014,39.3
F,BG,Bulgaria,2015,39.6
F,BG,Bulgaria,2016,39.8
F,BG,Bulgaria,2017,40.4
F,BG,Bulgaria,2018,41.1
F,BG,Bulgaria,2019,39.4
F,BG,Bulgaria,2020,39.1
F,BG,Bulgaria,2021,39.5
F,BG,Bulgaria,2022,40.3
F,CH,Switzerland,2000,17.3
F,CH,Switzerland,2001,17.1
F,CH,Switzerland,2002,19.7
F,CH,Switzerland,2003,21.8
F,CH,Switzerland,2004,23.2
F,CH,Switzerland,2005,25.0
F,CH,Switzerland,2006,26.6
F,CH,Switzerland,2007,31.0
F,CH,Switzerland,2008,35.1
F,CH,Switzerland,2009,37.4
F,CH,Switzerland,2010,35.8
F,CH,Switzerland,2011,37.6
F,CH,Switzerland,2012,38.6
F,CH,Switzerland,2013,41.6
F,CH,Switzerland,2014,44.2
F,CH,Switzerland,2015,48.3
F,CH,Switzerland,2016,48.9
F,CH,Switzerland,2017,51.0
F,CH,Switzerland,2018,53.7
F,CH,Switzerland,2019,54.7
F,CH,Switzerland,2020,55.3
F,CH,Switzerland,2021,54.4
F,CH,Switzerland,2022,53.1
F,CY,Cyprus,2000,34.6
F,CY,Cyprus,2001,37.7
F,CY,Cyprus,2002,42.9
F,CY,Cyprus,2003,44.3
F,CY,Cyprus,2004,43.9
F,CY,Cyprus,2005,44.7
F,CY,Cyprus,2006,47.0
F,CY,Cyprus,2007,52.3
F,CY,Cyprus,2008,54.7
F,CY,Cyprus,2009,53.4
F,CY,Cyprus,2010,53.7
F,CY,Cyprus,2011,57.8
F,CY,Cyprus,2012,59.8
F,CY,Cyprus,2013,58.0
F,CY,Cyprus,2014,62.9
F,CY,Cyprus,2015,63.9
F,CY,Cyprus,2016,65.3
F,CY,Cyprus,2017,65.5
F,CY,Cyprus,2018,66.5
F,CY,Cyprus,2019,69.6
F,CY,Cyprus,2020,67.8
F,CY,Cyprus,2021,66.2
F,CY,Cyprus,2022,67.1
F,CZ,Czechia,2000,11.5
F,CZ,Czechia,2001,11.5
F,CZ,Czechia,2002,11.6
F,CZ,Czechia,2003,11.3
F,CZ,Czechia,2004,13.1
F,CZ,Czechia,2005,14.6
F,CZ,Czechia,2006,15.8
F,CZ,Czechia,2007,17.0
F,CZ,Czechia,2008,19.7
F,CZ,Czechia,2009,22.5
F,CZ,Czechia,2010,25.4
F,CZ,Czechia,2011,28.5
F,CZ,Czechia,2012,32.8
F,CZ,Czechia,2013,34.2
F,CZ,Czechia,2014,35.1
F,CZ,Czechia,2015,38.1
F,CZ,Czechia,2016,39.0
F,CZ,Czechia,2017,40.5
F,CZ,Czechia,2018,40.7
F,CZ,Czechia,2019,39.5
F,CZ,Czechia,2020,40.4
F,CZ,Czechia,2021,43.3
F,CZ,Czechia,2022,43.1
F,DE,Germany,2000,20.8
F,DE,Germany,2001,20.4
F,DE,Germany,2002,19.8
F,DE,Germany,2003,20.9
F,DE,Germany,2004,22.5
F,DE,Germany,2005,22.1
F,DE,Germany,2006,22.3
F,DE,Germany,2007,23.4
F,DE,Germany,2008,24.8
F,DE,Germany,2009,26.9
F,DE,Germany,2010,27.2
F,DE,Germany,2011,29.5
F,DE,Germany,2012,31.0
F,DE,Germany,2013,31.9
F,DE,Germany,2014,28.9
F,DE,Germany,2015,30.6
F,DE,Germany,2016,31.5
F,DE,Germany,2017,32.5
F,DE,Germany,2018,33.6
F,DE,Germany,2019,34.4
F,DE,Germany,2020,36.6
F,DE,Germany,2021,38.8
F,DE,Germany,2022,39.5
F,DK,Denmark,2000,31.4
F,DK,Denmark,2001,35.5
F,DK,Denmark,2002,36.2
F,DK,Denmark,2003,38.6
F,DK,Denmark,2004,41.0
F,DK,Denmark,2005,44.4
F,DK,Denmark,2006,45.5
F,DK,Denmark,2007,40.4
F,DK,Denmark,2008,39.9
F,DK,Denmark,2009,44.5
F,DK,Denmark,2010,44.9
F,DK,Denmark,2011,46.5
F,DK,Denmark,2012,49.7
F,DK,Denmark,2013,50.0
F,DK,Denmark,2014,49.2
F,DK,Denmark,2015,52.0
F,DK,Denmark,2016,51.5
F,DK,Denmark,2017,53.8
F,DK,Denmark,2018,54.3
F,DK,Denmark,2019,55.7
F,DK,Denmark,2020,55.5
F,DK,Denmark,2021,58.3
F,DK,Denmark,2022,58.3
F,EE,Estonia,2000,36.8
F,EE,Estonia,2001,34.4
F,EE,Estonia,2002,34.5
F,EE,Estonia,2003,33.4
F,EE,Estonia,2004,34.5
F,EE,Estonia,2005,39.0
