sex,geo,name,TIME_PERIOD,OBS_VALUE
F,AT,Austria,2009,1.3
F,AT,Austria,2010,1.2
F,AT,Austria,2011,1.3
F,AT,Austria,2012,1.4
F,AT,Austria,2013,1.5
F,AT,Austria,2014,1.7
F,AT,Austria,2015,1.6
F,AT,Austria,2016,2.0
F,AT,Austria,2017,2.0
F,AT,Austria,2018,1.6
F,AT,Austria,2019,1.2
F,AT,Austria,2020,1.5
F,AT,Austria,2021,1.8
F,AT,Austria,2022,1.1
F,AT,Austria,2023,1.0
F,BA,Bosnia and Herzegovina,2021,17.6
F,BA,Bosnia and Herzegovina,2022,15.5
F,BE,Belgium,2009,3.5
F,BE,Belgium,2010,4.0
F,BE,Belgium,2011,3.5
F,BE,Belgium,2012,3.1
F,BE,Belgium,2013,3.6
F,BE,Belgium,2014,3.7
F,BE,Belgium,2015,3.9
F,BE,Belgium,2016,3.7
F,BE,Belgium,2017,3.2
F,BE,Belgium,2018,2.5
F,BE,Belgium,2019,2.0
F,BE,Belgium,2020,2.0
F,BE,Belgium,2021,2.5
F,BE,Belgium,2022,2.2
F,BE,Belgium,2023,1.8
F,BG,Bulgaria,2009,3.5
F,BG,Bulgaria,2010,4.8
F,BG,Bulgaria,2011,5.9
F,BG,Bulgaria,2012,6.1
F,BG,Bulgaria,2013,7.0
F,BG,Bulgaria,2014,6.4
F,BG,Bulgaria,2015,5.4
F,BG,Bulgaria,2016,4.6
F,BG,Bulgaria,2017,3.6
F,BG,Bulgaria,2018,3.1
F,BG,Bulgaria,2019,2.6
F,BG,Bulgaria,2020,2.3
F,BG,Bulgaria,2021,2.4
F,BG,Bulgaria,2022,2.0
F,BG,Bulgaria,2023,2.1
F,CH,Switzerland,2010,1.9
F,CH,Switzerland,2011,1.7
F,CH,Switzerland,2012,1.6
F,CH,Switzerland,2013,1.7
F,CH,Switzerland,2014,1.9
F,CH,Switzerland,2015,1.9
F,CH,Switzerland,2016,1.9
F,CH,Switzerland,2017,1.9
F,CH,Switzerland,2018,1.9
F,CH,Switzerland,2019,1.7
F,CH,Switzerland,2020,1.6
F,CH,Switzerland,2021,2.0
F,CH,Switzerland,2022,1.7
F,CH,Switzerland,2023,1.4
F,CY,Cyprus,2009,0.6
F,CY,Cyprus,2010,1.3
F,CY,Cyprus,2011,1.5
F,CY,Cyprus,2012,3.1
F,CY,Cyprus,2013,5.6
F,CY,Cyprus,2014,7.0
F,CY,Cyprus,2015,6.2
F,CY,Cyprus,2016,5.1
F,CY,Cyprus,2017,4.0
F,CY,Cyprus,2018,2.8
F,CY,Cyprus,2019,2.3
F,CY,Cyprus,2020,2.0
F,CY,Cyprus,2021,2.6
F,CY,Cyprus,2022,2.5
F,CY,Cyprus,2023,1.8
F,CZ,Czechia,2009,2.5
F,CZ,Czechia,2010,3.5
F,CZ,Czechia,2011,3.2
F,CZ,Czechia,2012,3.6
F,CZ,Czechia,2013,3.7
F,CZ,Czechia,2014,3.2
F,CZ,Czechia,2015,2.9
F,CZ,Czechia,2016,2.0
F,CZ,Czechia,2017,1.3
F,CZ,Czechia,2018,0.8
F,CZ,Czechia,2019,0.7
F,CZ,Czechia,2020,0.6
F,CZ,Czechia,2021,0.9
F,CZ,Czechia,2022,0.8
F,CZ,Czechia,2023,0.8
F,DE,Germany,2009,3.4
F,DE,Germany,2010,3.0
F,DE,Germany,2011,2.5
F,DE,Germany,2012,2.2
F,DE,Germany,2013,2.1
F,DE,Germany,2014,1.9
F,DE,Germany,2015,1.7
F,DE,Germany,2016,1.4
F,DE,Germany,2017,1.3
F,DE,Germany,2018,1.1
F,DE,Germany,2019,1.0
F,DE,Germany,2020,0.9
F,DE,Germany,2021,0.9
F,DE,Germany,2022,0.9
F,DE,Germany,2023,0.7
F,DK,Denmark,2009,0.5
F,DK,Denmark,2010,1.1
F,DK,Denmark,2011,1.6
F,DK,Denmark,2012,2.0
F,DK,Denmark,2013,2.0
F,DK,Denmark,2014,1.7
F,DK,Denmark,2015,1.6
F,DK,Denmark,2016,1.2
F,DK,Denmark,2017,1.2
F,DK,Denmark,2018,1.1
F,DK,Denmark,2019,0.9
F,DK,Denmark,2020,1.2
F,DK,Denmark,2021,1.1
F,DK,Denmark,2022,0.5
F,DK,Denmark,2023,0.5
F,EA20,EA20,2009,3.5
F,EA20,EA20,2010,4.2
F,EA20,EA20,2011,4.5
F,EA20,EA20,2012,5.2
F,EA20,EA20,2013,5.8
F,EA20,EA20,2014,5.9
F,EA20,EA20,2015,5.4
F,EA20,EA20,2016,4.9
F,EA20,EA20,2017,4.3
F,EA20,EA20,2018,3.7
F,EA20,EA20,2019,3.3
F,EA20,EA20,2020,3.0
F,EA20,EA20,2021,3.4
F,EA20,EA20,2022,2.9
F,EA20,EA20,2023,2.5
F,EE,Estonia,2009,2.9
F,EE,Estonia,2010,5.7
F,EE,Estonia,2011,6.2
F,EE,Estonia,2012,4.8
F,EE,Estonia,2013,3.4
F,EE,Estonia,2014,2.6
F,EE,Estonia,2015,2.2
F,EE,Estonia,2016,1.8
F,EE,Estonia,2017,1.6
F,EE,Estonia,2018,1.2
F,EE,Estonia,2019,0.8
F,EE,Estonia,2020,1.0
F,EE,Estonia,2021,1.1
F,EE,Estonia,2022,1.0
F,EE,Estonia,2023,1.4
F,EL,Greece,2009,5.6
F,EL,Greece,2010,7.7
F,EL,Greece,2011,10.8
F,EL,Greece,2012,16.3
F,EL,Greece,2013,20.0
F,EL,Greece,2014,20.8
F,EL,Greece,2015,19.7
F,EL,Greece,2016,19.2
F,EL,Greece,2017,18.2
F,EL,Greece,2018,16.5
F,EL,Greece,2019,14.8
F,EL,Greece,2020,13.5
F,EL,Greece,2021,12.3
F,EL,Greece,2022,10.5
F,EL,Greece,2023,8.7
F,ES,Spain,2009,4.9
F,ES,Spain,2010,7.6
F,ES,Spain,2011,9.3
F,ES,Spain,2012,11.4
F,ES,Spain,2013,13.5
F,ES,Spain,2014,13.7
F,ES,Spain,2015,12.4
F,ES,Spain,2016,10.8
F,ES,Spain,2017,8.8
F,ES,Spain,2018,7.4
F,ES,Spain,2019,6.5
F,ES,Spain,2020,6.1
F,ES,Spain,2021,7.4
F,ES,Spain,2022,6.1
F,ES,Spain,2023,5.0
F,EU,European Union,2009,3.3
F,EU,European Union,2010,4.0
F,EU,European Union,2011,4.3
F,EU,European Union,2012,4.9
F,EU,European Union,2013,5.4
F,EU,European Union,2014,5.4
F,EU,European Union,2015,4.9
F,EU,European Union,2016,4.3
F,EU,European Union,2017,3.7
F,EU,European Union,2018,3.2
F,EU,European Union,2019,2.8
F,EU,European Union,2020,2.6
F,EU,European Union,2021,2.9
F,EU,European Union,2022,2.5
F,EU,European Union,2023,2.2
F,FI,Finland,2009,1.4
F,FI,Finland,2010,1.8
F,FI,Finland,2011,1.5
F,FI,Finland,2012,1.5
